"CanonicalTitle","AuthorPublicName","LastAuthorResponse","AuthorReviewState","CurrentAuthorGate","NextGovernedAction","ImmediateManualRecoveryAction"
"Before You Were Born","Sean Crowley","AUTHOR_REPORTED_FILE_FAILURE; RESPONSE_REQUIRES_SERVICE_RECOVERY","BROKEN_DELIVERY_NO_VALID_REVIEW_CLOCK","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Recover canonical Developmental source, generate certified author-facing Developmental package, validate attachments, then send replacement if no later valid response exists.","Preserve failed Aug 2 send and author error response; mark failed package superseded for current operations; recover source; certify replacement; send only after every attachment opens/renders and recipient identity is verified."
"Establishing Glory: The Library","Jackie Smith, Jr.","NO_VALID_AUTHOR_REVIEW_RESPONSE_FOUND_AFTER_CERTIFIED_DELIVERY","BROKEN_DELIVERY_NO_VALID_REVIEW_CLOCK","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Resolve source state to SOURCE_EXISTS_NEEDS_BINDING, SOURCE_EXISTS_NEEDS_VERSION_RECONCILIATION, or SOURCE_GENUINELY_MISSING; then certify/send replacement only if source is proven and no later valid response exists.","Search governed storage and bind the current Developmental source before any author-facing replacement; do not request source from author unless governed storage is proven empty."
"The Long Watch","Jackie Smith, Jr.","NO_VALID_AUTHOR_REVIEW_RESPONSE_FOUND_AFTER_CERTIFIED_DELIVERY","BROKEN_DELIVERY_NO_VALID_REVIEW_CLOCK","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Recover source, generate certified author-facing Developmental package, validate attachments, then send replacement if no later valid response exists.","Inspect source binding and package assembly; produce only Developmentally Edited Manuscript, Developmental Review Memo, and review instructions if needed; certify before replacement send."
"The Intentional Leader","Jackie Smith, jr.","AUTHOR_APPROVED_COVER_DESIGN; COVER_REVIEW_RESPONSE_SHOWN_2026-08-11","AUTHOR_APPROVED_COVER_DESIGN","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Reconcile approved interior and approved cover boundary, then execute the next proven Production step; no author communication unless that production step requires it.","Confirm interior approval evidence, cover approval evidence, whether approved cover is concept or final full-wrap, and remaining production requirements before any production handoff or proof action."
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Prepare certified prospect recommendation.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The General’s Will and Last Testament","Iyorwuese Hagher","NO_CONSUMED_RESPONSE_FOUND_CHECK_MAILBOX_BEFORE_REMINDER","AWAITING_AUTHOR_DECISION","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Monitor for and consume author decision. No JMP action is currently required unless a response has arrived.","Do not resend. Check inbound response evidence only; if author responded, reconcile the decision before advancing to Line."
"'TIL DEATH DO US PART","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Continue governed editorial stage and mandatory author approval.","Monitor for the real prospect response; do not resend unless the response window or evidence requires Jackie-approved follow-up."
"Untitled","Atta Boateng","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Await prospect package selection or questions.","Monitor for the real prospect response; do not resend unless the response window or evidence requires Jackie-approved follow-up."
"You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Warriors and Angels: Liberating Inner Power in the Journey of Life","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Your Peace is a Priority: A Devotional Journal","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Journey: The Inspiration and Message Behind the Music","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"todays's new title","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Great Hair Restart: The Journal","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Taylor Made: My Life, My Story","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"More Than A Village: Raising Black Men in America","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Speech Therapy Works!: Juliana's Story","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"My ABCs","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"SHE: An Expose' of Her Insufficiencies","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Loving the Addict: While Taking Care of Yourself First","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Memoir of a Black Christian Nationalist: Seeds of Liberation","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Just What I Needed: Daily Devotional","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Inspirations from God: God is Gooood!","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
