capability,posture,current_use,maturity,gap,recommendation,gap_classification,owner,required_next_action
Dynamics 365 Sales,Unverified in this pass; Dataverse-backed sales objects are in use,Opportunity/package/payment/agreement status are evidenced in PROGRAM-002,Level 2 internal operational use,License posture and governed Sales app usage not proven,USE_MORE_AFTER_LICENSE_PROOF,BLOCKS_ACTIVATION,Jackie / Platform governance,License assignment readback plus one governed opportunity lifecycle proof
Dynamics 365 Customer Service,Unverified,No direct Customer Service case workload proven,Level 0 candidate,"No case schema, routing, or SLA evidence",ASSESS_LATER,BLOCKS_ACTIVATION,Jackie / Platform governance,Confirm entitlement and map one author exception case flow
Dynamics 365 Customer Insights / Journeys,Unverified,No governed marketing automation activation proven,Level 0 candidate,"Consent, segmentation, unsubscribe, and journey governance not proven",HOLD,BLOCKS_ACTIVATION,Jackie / Platform governance,Consent model and test-only journey proof
Power Apps,Unverified but Dataverse-compatible,No maintained model/canvas app package proven in current evidence,Level 1 candidate,"Possible low-code admin surfaces, but source of truth must remain governed",ASSESS_LATER,BLOCKS_ACTIVATION,Jackie / Platform governance,Inventory current apps/solutions and compare with Next.js operator needs
Dataverse,Available and operationally proven,"Canonical business records, prompts, execution logs, author/title/opportunity/contracts",Level 2 operational core,Choice metadata and schema-validation errors require disciplined query/write helpers,USE_MORE_NOW,LIMITS_OPTIMIZATION,JM1 technical administration,Close jm1_executionstatus numeric choice lookup pattern as reusable helper
Business Central,Unverified; explicitly held,No production posting authorized,Level 0/held,BC posting boundary remains governance hold,HOLD,BLOCKS_ACTIVATION,Jackie / Accounting,"Sandbox-only posting design, never production without Jackie approval"
Microsoft Foundry / Azure AI,Partially proven,"PROGRAM-003A proves governed Azure/Foundry runtime path, telemetry, and Dataverse writeback",Level 1/2 controlled proof,Hierarchical manuscript handling and source-control reconciliation remain,USE_MORE_WITH_GATES,BLOCKS_VALIDATION,JM1 technical administration,Rerun controlled shadow eval with remediated input architecture
Microsoft Agent 365,Unverified/not operationalized,"Architecture registry/blueprint evidence, not live workforce deployment",Level 0/1 architecture candidate,"Agent census, permission model, lifecycle, rollback not proven",ASSESS_LATER,BLOCKS_ACTIVATION,Jackie / Platform governance,Create no-write Agent 365 blueprint proof with tenant and permission readback
Microsoft Entra,Available indirectly through app identity evidence,PROGRAM-003A records permanent app user/app identity for governed writeback,Level 1 operational dependency,Full least-privilege entitlement review not closed,USE_MORE_WITH_GATES,INFORMATIONAL,JM1 technical administration,Access review and app role documentation
SharePoint / Purview / Defender / Azure Monitor,SharePoint and Azure Monitor evidence proven; Purview/Defender unverified,SharePoint workspace and Azure telemetry evidenced,"Level 2 for SharePoint, Level 1 for monitoring",Retention/DLP/security-center posture not proven,USE_MORE_WITH_GATES,BLOCKS_ACTIVATION,JM1 technical administration,Checksum-backed evidence index plus retention/DLP owner review
GitHub / Azure DevOps / Deployment Pipelines,GitHub operational; Azure DevOps unverified,"PR ranges, deployments, branch reconstruction, validation gates evidenced",Level 2 source governance,Azure DevOps migration not justified,USE_CURRENT_GITHUB,INFORMATIONAL,JM1 technical administration,Document branch reconciliation and PR evidence path
