ACTION,WAITING_ON,WAITING_REASON
AUTHOR_DEVELOPMENTAL_EDIT_APPROVAL,Author,AUTHOR_EDITORIAL_APPROVAL
AUTHOR_COPYEDIT_APPROVAL,Author,AUTHOR_EDITORIAL_APPROVAL
AUTHOR_LINE_EDIT_APPROVAL,Author,AUTHOR_EDITORIAL_APPROVAL
EDITORIAL_WORK_IN_PROGRESS,Editor/JMP/System,EDITORIAL_WORK_IN_PROGRESS
CONTRACT_EXECUTION_REQUIRED,Contract,CONTRACT_EXECUTION_REQUIRED
INITIAL_PAYMENT_REQUIRED,Payment,INITIAL_PAYMENT_REQUIRED
ARTIFACT_REQUIRED,Artifact,ARTIFACT_REQUIRED
PUBLISHER_REVIEW_REQUIRED,JMP,PUBLISHER_REVIEW_REQUIRED
EXTERNAL_VENDOR_ACTION,External,EXTERNAL_VENDOR_ACTION
SYSTEM_RECONCILIATION,Reconciliation Required,SYSTEM_RECONCILIATION
