candidate_row,legacy_sku,legacy_name,category,legacy_price,proposed_disposition,hold_status,final_disposition,required_action,owner,review_date
1,JMP-ACCESS-DYSLEXIA,Dyslexia-Friendly Accessibility Capability,Accessibility,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
2,JMP-AI-SERIES,AI Series Planning Capability,AI / Planning,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
3,JMP-AUTH-PATRON,Author Patron / Supporter Program Capability,Author Program,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
4,JMP-DES-INTERACTIVE,Interactive Design Capability,Design / Interactive,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
5,JMP-DIST-INGRAM-UPGRADE,Ingram Distribution Upgrade,Distribution,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
6,JMP-EDIT-COAUTHOR,Coauthor / Collaborative Editorial Support,Editorial,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
7,JMP-EDIT-INDEX,Indexing,Editorial,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
8,JMP-EDU-PODCAST,Educational Podcast Capability,Education / Media,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
9,JMP-INTEL-AGENT,Author Intelligence Agent Capability,Intelligence,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
10,JMP-INTEL-DASHBOARD,Author Intelligence Dashboard Capability,Intelligence,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
11,JMP-INTEL-PREDICT,Predictive Author Intelligence Capability,Intelligence,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
12,JMP-LEGAL-LCCN,Library of Congress Control Number / LCCN Handling,Legal / Metadata,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
13,JMP-MKT-TIKTOK,TikTok Marketing Capability,Marketing,Internal only,PROVISIONAL-INTERNAL-EVALUATION,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
14,JMP-PROG-LOYALTY,Loyalty / Returning Author Program,Program,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
15,JMP-PROG-PARTNER-BASE,Partner Program - Base,Program,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
16,JMP-PROG-PARTNER-PREMIER,Partner Program - Premier,Program,Publisher review required,CANDIDATE-ACTIVE-PUBLISHER-REVIEW,OUTSIDE_104_ROW_RULING_SET,PROVISIONAL_HOLD,Materialize and validate CANON-CANDIDATE source package or obtain Jackie ruling before treating as active catalog authority.,Jackie / Catalog governance,2026-08-15
