"Path","Git state","Last modified","Likely initiative","Related PR","Present on main","Required for Human-First package","Contains generated evidence","Contains source/runtime changes","Recommended disposition","Classification"
".github/workflows/azure-static-web-apps.yml"," M","2026-07-08T05:42:34.482Z","GitHub workflow configuration","TBD during initiative-specific reconciliation","NO","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/api/author/financial-setup/route.ts"," M","2026-07-08T15:35:17.707Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/api/author/gate/route.ts"," M","2026-07-10T09:35:51.474Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/api/author/onboarding/route.ts"," M","2026-07-08T15:35:17.706Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/api/author/royalty-setup/route.ts"," M","2026-07-08T15:35:17.708Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/api/join/route.ts"," M","2026-07-04T12:16:29.005Z","Application source","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/_components/AuthorGate.tsx"," M","2026-07-11T14:14:03.800Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/_components/AuthorPortalShell.tsx"," M","2026-07-08T15:33:05.253Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/_components/AuthorSetupForm.tsx"," M","2026-07-08T15:33:05.254Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/financial-setup/page.tsx"," M","2026-07-08T15:33:27.887Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/onboarding/page.tsx"," M","2026-07-08T15:33:27.887Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/page.tsx"," M","2026-07-08T15:34:28.402Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/portal/page.tsx"," M","2026-07-10T01:47:09.596Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"app/author/royalty-setup/page.tsx"," M","2026-07-08T15:33:41.034Z","Author Operating Center / author access","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"azure-functions/diagnostic-ai-runner/.funcignore"," M","2026-07-10T12:31:01.923Z","Diagnostic AI Runner / production pipeline","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"azure-functions/diagnostic-ai-runner/package.json"," M","2026-07-10T14:01:18.080Z","Diagnostic AI Runner / production pipeline","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"azure-functions/diagnostic-ai-runner/src/blob/knowledgeReader.js"," M","2026-07-10T14:01:18.078Z","Diagnostic AI Runner / production pipeline","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
"azure-functions/diagnostic-ai-runner/src/dataverse/client.js"," M","2026-07-10T11:38:05.594Z","Diagnostic AI Runner / production pipeline","TBD during initiative-specific reconciliation","YES","NO","NO","YES","Preserve; move to dedicated initiative branch/worktree before further execution","OTHER_ACTIVE_WORK"
