Domain,Manual Skill,Requirement,Manual Canon Source,Current Runtime Component,Current Behavior,Classification,Impact,Required Change,Change Type,Priority
Imprint,Editorial Review,Missing confirmed imprint should not block review,01-Editorial-Review/instructions.md L12-19 (hard-stop),azure-functions/diagnostic-ai-runner/src/editorial/manuscriptEditorialReviewProvider.js + editorialPromptAssembly.js,No hard-stop language found in actual runtime prompt/gating code,ALIGNED (runtime already matches Founder canon; manual GPT is what's wrong),High - was misdiagnosed as a runtime problem,Correct the manual GPT text only,Manual GPT correction,P1
Imprint,Editorial Review,Distinguish confirmedImprint/suggestedImprint/imprintStatus,Founder direction item 3,Dataverse jm1pub_title: jm1pub_certifiedimprint / jm1pub_imprint / jm1pub_classificationstatus,Schema already has all three distinct fields; classificationstatus picklist has Unclassified/Auto-Assigned/Human Review/Confirmed/Overridden/Processing,ALIGNED (schema),None - reuse existing fields,None needed at schema level,None,P3
Imprint,Editorial Review,Editorial Review should resolve confirmed-else-suggested imprint for scoring context,Founder direction item 4,azure-functions/diagnostic-ai-runner/src/editorial/editorialGuideSelector.js,Only normalizes a flat single input.imprint value - no confirmed/suggested resolution logic found,PARTIAL,Medium - review can proceed but doesn't yet explicitly resolve/label the distinction,Add confirmed-else-suggested resolution + JM Signature recommended-vs-assigned output labeling,Small runtime addition,P1
Imprint,Editorial Review,JM Signature suggestion may inform review but must not auto-assign,Founder direction item 2,preContractEditorialReviewGate.js (imprintReady logic),imprintReady already accepts recommended/locked/overridden - does not require Confirmed status to proceed; no evidence of auto-assignment anywhere,ALIGNED,None,None,None,P3
Editorial Review,Editorial Review,Assessment/triage/recommendation only - no editing,06-49 (core principle),Stage 0 diagnostic path (stage0HierarchicalShadowRunner.js + editorialPromptAssembly.js),Structured JSON assessment output only; separate from the CAP-00x edit-stage executor entirely,ALIGNED,None,None,None,P3
Editorial Review,Editorial Review,Prospect vs Active Project lifecycle distinction preserved,Founder direction item 7 (already-corrected canon),Confirmed this session for Atta/Quanishia incidents,Lifecycle correctly derived from commercial/agreement records, not contact alone,ALIGNED,None,None,None,P3
Editorial Review,Editorial Review,Determine and pass forward Primary Style Guide,01-Editorial-Review/instructions.md L113-117,editorialGuideSelector.js / editorialStyleGuideRegistry.js,Only reachable from Stage 0 shadow runner; not invoked by the CAP-00x stage executor at all,PARTIAL,Medium,Wire style-guide selection into editorialExecutionRuntime.js and persist on title/artifact lineage,Runtime wiring,P1
Editorial Review,All stages,Style guide should inherit downstream, not re-infer per stage,Founder direction item 10,editorialExecutionRuntime.js buildStageModelPrompt,selectedStyleGuides passed as a literal empty array on every call,MISSING,Medium,Resolve once at Editorial Review, bind to title/stage lineage, pass forward,Runtime wiring,P1
Developmental Editing,Developmental,Structural/story guidance with required deliverables (Author Intent Declaration, Chapter Map, Layer 1-3),02-Developmental-Editing/instructions.md + knowledge.md,editorialExecutionRuntime.js buildDevelopmentalRevisionDocx,Copies source verbatim with annotations on long/complex paragraphs; produces fixed generic boilerplate, not the manual's required structured deliverables,PARTIAL,High,Rebuild Developmental output template to match manual's required deliverable structure,Runtime rebuild,P1
Developmental Editing,Developmental,Retention band 80% min / 90-95% target,02-Developmental-Editing/instructions.md,correctionCounting.js / editorialComplianceValidator.js,Both modules exist but are dead code - never called from the actual runtime path,MISSING,High,Wire an objective word-count-delta/diff check into the actual stage executor,Runtime wiring + new QA check,P0
Line Editing,Line,Sentence/paragraph refinement; no Dev restructuring; no full Copyedit,03-Line-Editor/instructions.md,editorialExecutionRuntime.js buildOutputDocument,No LINE_EDITING branch exists at all - falls through to hardcoded Developmental Editing Output boilerplate; manuscript text is not embedded or edited,CONFLICT,Critical - authors are receiving mislabeled artifacts,Build a real Line Editing output path that actually uses model output,Runtime rebuild,P0
Line Editing,Line,Retention 95-100%,03-Line-Editor/instructions.md,(none - see above),No retention enforcement exists; moot since no real line edit is produced,MISSING,Critical,Same as above plus retention QA,Runtime rebuild + QA,P0
Copyediting,Copy,Mechanical-only correction; no developmental/line/tonal rewriting,04-Copy-Editor/instructions.md,editorialExecutionRuntime.js buildOutputDocument,Same code path as Line - no COPYEDITING branch; identical generic boilerplate produced; no actual manuscript correction occurs,CONFLICT,Critical - authors are receiving mislabeled artifacts,Build a real Copy output path with a mechanical-only rewrite guard,Runtime rebuild,P0
Copyediting,Copy,Guard against non-mechanical rewriting,Founder direction item 19,(none found),No before/after diff/similarity validator exists anywhere in src/editorial,MISSING,Critical,Add a text-similarity/diff guard once real Copy output exists,New QA component,P0
All editing stages,Dev/Line/Copy,Context carry-forward (author intent, imprint, style guide, prior findings),Founder direction item 13,editorialExecutionRuntime.js createPackageManifestArtifact / buildStageModelPrompt,Manifest carries only artifact checksums/IDs; model prompt carries only raw source text sample - no imprint/style-guide/intent/findings passed,PARTIAL,High,Extend package manifest + stage prompt to carry substantive context,Runtime extension,P1
Author Gate,All stages,Mandatory author approval between every editorial stage; no AI-finished auto-advance,14/17/20 (Founder direction),editorialAuthorGatePolicy.js + editorialExecutionRuntime.js findActiveEditorialStages,Code-enforced: stage only enters execution queue if upstream gate is fully approved with matching artifact checksum; gate decisions only ever come from parsed real author email replies,ALIGNED,None - this is genuinely solid,None,None,P3
Layout Boundary,Proof,Proofreading is explicitly POST-layout,05-Proofreader/instructions.md L1-9 + L79-89,lib/server/author-review-package-engine.ts PACKAGE_STAGE_POLICIES,PROOFREADING_REVIEW is positioned and sequenced BEFORE INTERIOR_LAYOUT_REVIEW in the canonical policy object,CONFLICT,Critical - directly contradicts updated manual canon,Reorder to Copy -> Layout -> Proof -> Final Approval; determine correct layout artifact owner first,Sequencing change (see 07/15),P0
Layout Boundary,(structural),Internal EDITORIAL_STAGES enum has no layout concept at all,Founder direction item 23,milestone7cEditorialCommandCenter.js EDITORIAL_STAGES,COPYEDIT transitions directly to PROOFREAD; no layout stage exists in this enum,MISSING,Critical - root cause of the layout/proof conflict,Add a layout stage concept or bridge to the package-engine's INTERIOR_LAYOUT stage,Runtime addition,P0
