Row ID,Legacy SKU,Original Product/Service Name,Original Category,Original Source,Current Status,Current Price,Original Matrix v1.1 Price,Conflict,Original Proposed Class,Original Proposed Disposition,Final Jackie Ruling,Final Commercial Status,Canonical SKU,Canonical Product Name,Internal Name / Note,PF Mapping,Release Model Mapping,Production Mode Mapping,Matrix v1.1 Price,Slot Eligibility,Premium Upcharge,Public Visibility,Quoting Status,Contract Status,Superseded By,Effective Date,Jackie Notes,Migration Action,Downstream Remediation,Ruling Source Sheet,Workbook Source SHA-256
CAT-001,JMP-ACCESS-ALTTEXT,Alt Text & Image Description Service,Accessibility and Translation,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-ACCESS-ALTTEXT,Alt Text & Image Description Service,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-003,JMP-ACCESS-EPUB,Accessible EPUB Formatting (WCAG compliant),Accessibility and Translation,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-ACCESS-EPUB,Accessible EPUB Formatting (WCAG compliant),,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-004,JMP-ACCESS-MULTI,Multilingual Metadata Optimization,Accessibility and Translation,Worksheet,Active,$149,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-ACCESS-MULTI,Multilingual Metadata Optimization,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-005,JMP-AI-ANALYSIS,AI Manuscript Analysis,AI Services,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-ANALYSIS,AI Manuscript Analysis,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-006,JMP-AI-COVER,AI Cover Concept Ideation,AI Services,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-COVER,AI Cover Concept Ideation,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-007,JMP-AI-LAUNCH,AI Launch Kit,AI Services,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-LAUNCH,AI Launch Kit,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-008,JMP-AI-MARKETING,AI Marketing Starter Kit,AI Services,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-MARKETING,AI Marketing Starter Kit,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-009,JMP-AI-METADATA,AI Metadata Optimization,AI Services,Worksheet,Active,$199,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-METADATA,AI Metadata Optimization,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-010,JMP-AI-SENSITIVITY,AI Sensitivity Reading,AI Services,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-SENSITIVITY,AI Sensitivity Reading,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-012,JMP-AI-TRANSLATE,AI-Assisted Translation / Localization,Accessibility and Translation,Worksheet,Active,$0.12 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,MIGRATE,ACTIVE,JMP-AI-TRANSLATE,AI-Assisted Translation / Localization,,N/A,N/A,N/A,,No,N/A,PUBLIC,QUOTABLE,CONTRACTABLE,,2026-08-05,,Seed active catalog record as-is from completed ruling register.,No legacy conflict identified; seed/readback only.,Class A - Migrate as Is,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
