Manual Component,Updated Source,Repo Source,Same?,Founder Correction?,Action,Classification
Editorial Review,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 01-Editorial-Review/instructions.md","references/editorial-review.md missing on main",NO,YES,"Imported source; replaced stale imprint hard-stop with nonblocking imprint rule; added JM Signature pending-Publisher-approval rule",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Editorial Review knowledge,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 01-Editorial-Review/knowledge.md","references/knowledge.md",NO,YES,"Imported source; corrected JM Signature hard-stop semantics and missing-imprint hold language",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Developmental Editing,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 02-Developmental-Editing/instructions.md","references/developmental-editing.md",NO,YES,"Imported source; added upstream context inheritance and artifact-bound author gate before Line",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Developmental bridge,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 02-Developmental-Editing/knowledge.md","references/developmental-pipeline-bridge.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
Line Editor,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 03-Line-Editor/instructions.md","references/line-editing.md",NO,YES,"Imported source; changed standard retention to 95-100; added upstream style-guide use and artifact-bound gate before Copy",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Copy Editor,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 04-Copy-Editor/instructions.md","references/copyediting.md",NO,YES,"Imported source; added upstream style-guide use and artifact-bound gate before Layout",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Proofreader,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 05-Proofreader/instructions.md","references/proofreading.md plus line-copyedit-proof.md",NO,YES,"Imported source; added exact post-layout proof artifact and Final Author Approval binding",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Distribution Review,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 06-Distribution-Review/instructions.md","references/distribution-review.md missing on main",NO,NO,"Imported source; source already includes metadata/rights/files/accessibility/pricing/profitability/sequencing",REPO_MISSING_SOURCE_IMPORTED
Cover Intelligence,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 07-Cover-Intelligence/instructions.md","references/cover-intelligence.md missing on main",NO,YES,"Imported source; added explicit Cover Concept / Full Wrap / Final Cover distinction",SOURCE_IMPORTED_PLUS_FOUNDER_CORRECTION
Cover genre guide,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 07-Cover-Intelligence/jmp_cover_genre_guide.md","references/jmp_cover_genre_guide.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
Cover layout guide,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 07-Cover-Intelligence/jmp_cover_layout_guide.md","references/jmp_cover_layout_guide.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
Cover production specs,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 07-Cover-Intelligence/jmp_cover_production_specs.md","references/jmp_cover_production_specs.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
Brand Infrastructure,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 08-Brand-Infrastructure/instructions.md","references/brand-infrastructure.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
Jackie Personal Blog,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 09-Jackie-Personal-Blog/instructions.md","references/jackie-personal-blog.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
JM1 Content Blog,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 10-JM1-Content-Blog/instructions.md","references/blog-editorial.md missing on main",NO,NO,"Imported source",REPO_MISSING_SOURCE_IMPORTED
JM1 blog architecture refs,"/Users/jmerrillone/Downloads/JMP-GPTs_2.zip :: 10-JM1-Content-Blog/*.md","related reference files missing on main",NO,NO,"Imported four source references",REPO_MISSING_SOURCE_IMPORTED
