item_id,source_anchor,manuscript_anchor,issue_type,action,disposition,rationale,resulting_text_location,project_style_sheet_impact,author_query_impact,downstream_stage_impact,change_notes
CAP001-LE-001,DEV-COM-092,January 1 — Releasing the Need to Reinvent Yourself,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 41; January 1 — Releasing the Need to Reinvent Yourself; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,\bThere is a subtle\b -> A subtle
CAP001-LE-002,DEV-COM-093,January 2 — Returning to Your Own Life,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 113; January 2 — Returning to Your Own Life; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,\bMany leaders\b -> Leaders often
CAP001-LE-003,DEV-COM-094,January 3 — The Courage to See Clearly,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 181; January 3 — The Courage to See Clearly; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,\bToday is not about\b -> This moment is not about
CAP001-LE-004,DEV-COM-095,January 4 — Escaping the Addiction to Urgency,repetition,No text change made after line-level review.,RETAINED FOR VOICE,Section already carried a distinct rhythm or change would flatten the author voice.,Paragraph 243; January 4 — Escaping the Addiction to Urgency; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Reviewed; retained current wording for voice.
CAP001-LE-005,DEV-COM-096,January 5 — Protecting Your Inner Environment,repetition,No text change made after line-level review.,RETAINED FOR VOICE,Section already carried a distinct rhythm or change would flatten the author voice.,Paragraph 329; January 5 — Protecting Your Inner Environment; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Reviewed; retained current wording for voice.
CAP001-LE-006,DEV-COM-097,January 6 — Learning to Trust Yourself Again,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 403; January 6 — Learning to Trust Yourself Again; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Removed one softening adverb for concision
CAP001-LE-007,DEV-COM-098,January 7 — Receiving Without Earning,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 484; January 7 — Receiving Without Earning; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Removed one softening adverb for concision
CAP001-LE-008,DEV-COM-099,January 8 — The Nervous System of Leadership,repetition,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,APPLIED WITH ADAPTATION,Differentiated repeated cadence while preserving approved devotional meaning and author voice.,Paragraph 570; January 8 — The Nervous System of Leadership; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,"\bToday, notice\b -> For today, notice"
CAP001-LE-009,DEV-COM-100,January 9 — Healing Internal Contradiction,repetition,No text change made after line-level review.,RETAINED FOR VOICE,Section already carried a distinct rhythm or change would flatten the author voice.,Paragraph 645; January 9 — Healing Internal Contradiction; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Reviewed; retained current wording for voice.
CAP001-LE-010,DEV-COM-101,January 10 — The Fear Beneath Impatience,repetition,No text change made after line-level review.,RETAINED FOR VOICE,Section already carried a distinct rhythm or change would flatten the author voice.,Paragraph 735; January 10 — The Fear Beneath Impatience; Extended Inner Reflection,Soul Dive rhythm and voice-preservation notes updated.,None,Copyediting to enforce consistency and punctuation only.,Reviewed; retained current wording for voice.
