record_name,type,current_value,required_or_target_value,disposition,notes
@,NS,"ns1-07.azure-dns.com.; ns2-07.azure-dns.net.; ns3-07.azure-dns.org.; ns4-07.azure-dns.info.","preserve Azure DNS nameservers",KEEP,"Do not change nameservers."
@,SOA,"Azure DNS SOA","preserve",KEEP,"No SOA mutation required."
@,A,"20.119.8.5","preserve website endpoint",KEEP,"Website DNS preserved."
www,CNAME,"aic-app-service-prod.azurewebsites.net","preserve website endpoint",KEEP,"Website DNS preserved."
aic,CNAME,"present in Azure DNS export","preserve unless app owner approves change",KEEP,"Non-mail web/app record."
dev,CNAME,"present in Azure DNS export","preserve unless app owner approves change",KEEP,"Non-mail app record."
asuid,TXT,"present in Azure DNS export","preserve app-service validation",KEEP,"App Service ownership proof."
asuid.www,TXT,"present in Azure DNS export","preserve app-service validation",KEEP,"App Service ownership proof."
asuid.aic,TXT,"present in Azure DNS export","preserve app-service validation",KEEP,"App Service ownership proof."
@,MX,"0 mail.agapeic.org.","Microsoft 365 MX after domain verification",AMEND_AFTER_M365_VERIFICATION,"Do not amend until M365 supplies final mail routing authority."
@,TXT,"v=spf1 a mx include:_spf.hostpma.pro ~all","single consolidated SPF including Microsoft 365 after verification",AMEND_AFTER_M365_VERIFICATION,"Avoid multiple SPF records."
@,TXT,"non-SPF token present","preserve unless proven obsolete",KEEP_PENDING_REVIEW,"Token retained during mailbox migration."
_dmarc,TXT,"v=DMARC1; p=reject;","v=DMARC1; p=none; rua/ruf tags only if approved",AMEND_BEFORE_STAGED_CUTOVER,"Instruction prohibits enforcement beyond p=none during implementation without separate authorization."
autodiscover,CNAME,"not configured","autodiscover.outlook.com",ADD_AFTER_M365_VERIFICATION,"Required for Microsoft 365 client discovery."
selector1._domainkey,CNAME,"not configured","Microsoft 365 DKIM selector target",ADD_AFTER_M365_DKIM_ENABLEMENT,"Exact target generated by Microsoft 365."
selector2._domainkey,CNAME,"not configured","Microsoft 365 DKIM selector target",ADD_AFTER_M365_DKIM_ENABLEMENT,"Exact target generated by Microsoft 365."
hostingscp._domainkey,TXT,"present in Azure DNS export","preserve until mail cutover confirms obsolete",KEEP_PENDING_REVIEW,"Likely current provider DKIM."
mail,A,"present in Azure DNS export","preserve until mail cutover",KEEP_PENDING_CUTOVER,"Current MX target."
imap,CNAME,"present in Azure DNS export","preserve until mail cutover",KEEP_PENDING_CUTOVER,"Current mail-client record."
pop,CNAME,"present in Azure DNS export","preserve until mail cutover",KEEP_PENDING_CUTOVER,"Current mail-client record."
smtp,CNAME,"present in Azure DNS export","preserve until mail cutover",KEEP_PENDING_CUTOVER,"Current mail-client record."
mysql,A,"present in Azure DNS export","preserve unless app owner approves change",KEEP,"Non-mail infrastructure record."
@,TXT,"Microsoft verification TXT absent","TXT value generated when agapeic.org is added to M365",ADD_REQUIRED,"Blocked until Microsoft 365 domain setup provides value."

