id,lane,capability,maturity_state,last_verified,evidence_source,environment,capability_owner,confidence,known_limitation,required_next_action,related_governance_reference
"ANNEXS-ENT-001","Entitlements","M365 SKU and service plan inventory","Designed=Defined by tenant licensing; Entitled=Entitled; Activated=Partially activated by assigned licenses; Proven=API readback captured","2026-07-29T16:51:02.414Z","Graph subscribedSkus","JM1-PRIME","Jackie / M365 Admin","High","Per-user service plan details summarized to reduce identity data in v1 package.","Chad synthesize license sufficiency against nine lanes.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENT-002","Entitlements","Intune availability","Designed=Endpoint management lane requires Intune posture; Entitled=Entitled; Activated=PendingActivation observed in subscribed service plan; Proven=Graph SKU evidence","2026-07-29T16:51:02.414Z","Graph subscribedSkus","JM1-PRIME","Jackie / M365 Admin","Medium","Service plan observed, but tenant activation/enrollment policy still requires portal/API proof.","Validate Intune tenant activation and endpoint enrollment policy.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENT-003","Entitlements","Purview availability","Designed=Compliance lane requires Purview posture; Entitled=Entitled; Activated=Service plan available; Proven=Graph SKU evidence","2026-07-29T16:51:02.414Z","Graph subscribedSkus","JM1-PRIME","Jackie / Compliance Admin","Medium","Policy configuration requires compliance endpoint readback.","Validate labels, retention, DLP coverage in Purview.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-001","Identity","Conditional Access policies","Designed=Conditional Access control plane present; Entitled=Entitled; Activated=Activated; Proven=Graph readback captured","2026-07-29T16:51:02.414Z","Graph conditionalAccess policies","JM1-PRIME","Jackie / Entra Admin","High","Coverage details require synthesis from full policy bodies.","Review coverage against privileged, guest, legacy-auth, and break-glass patterns.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-002","Identity","Standing privileged role membership","Designed=Privileged roles should be least-privilege and reviewed; Entitled=Directory roles readable; Activated=Role memberships present/readable; Proven=Directory role member readback captured","2026-07-29T16:51:02.414Z","Graph directoryRoles","JM1-PRIME","Jackie / Entra Admin","Medium","PIM eligibility and MFA method strength may require additional permissions.","Synthesize standing privilege count and request PIM/method proof where absent.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-003","Identity","Guest and external access posture","Designed=External access posture must be known; Entitled=Users readable; Activated=Guest count captured; Proven=Graph users summary captured","2026-07-29T16:51:02.414Z","Graph users","JM1-PRIME","Jackie / Entra Admin","Medium","SharePoint/Teams sharing policies are not in user summary.","Compare guest count and sharing policies against external collaboration canon.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-M365-001","M365 security/compliance","Secure Score snapshot","Designed=Security baseline requires Secure Score snapshot; Entitled=Unknown; Activated=Unknown; Proven=Not proven","2026-07-29T16:51:02.414Z","Graph security secureScores","JM1-PRIME","Jackie / Security Admin","Low","Secure Score query failed under current token.","Review score controls and improvement actions separately.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENDPOINT-001","Endpoints","Intune managed device inventory","Designed=Endpoint lane names JM1-PRIME/SUPPORT/ARCHIVE/VIEW/MOBILE; Entitled=Unknown; Activated=Not proven; Proven=Not proven","2026-07-29T16:51:02.414Z","Graph Intune managedDevices","JM1-PRIME","Jackie / Endpoint Admin","Low","Current token may lack Intune device read permission or tenant may not be activated.","Confirm Intune enrollment for each named endpoint.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-AZ-001","Azure","Azure subscription/resource inventory","Designed=Both Azure pillars must be visible; Entitled=Both non-tenant subscriptions visible; Activated=Resources read from visible subscriptions; Proven=az account/resource readback captured","2026-07-29T16:51:02.414Z","Azure CLI account/resource list","JM1-PRIME","Jackie / Azure Admin","High","Resource list is metadata-only and does not inspect every nested child setting.","Synthesize tagging, secret references, and workload network controls.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-AZ-002","Azure","Defender for Cloud plan states","Designed=Defender for Cloud plan states required; Entitled=Security pricing readable; Activated=Plan tiers captured; Proven=az security pricing list captured","2026-07-29T16:51:02.414Z","Azure CLI security pricing","JM1-PRIME","Jackie / Azure Security Admin","High","Many plans read as Free in core; commercial pillar requires synthesis.","Decide Standard plan needs by workload risk/grant availability.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
