ruling_class,legacy_sku,legacy_name,legacy_price,sku_family,matrix_v11_equivalent,proposed_disposition,jackie_ruling,conflict_detail,notes
Class A,JMP-ACCESS-ALTTEXT,Alt Text & Image Description,$95,ACCESS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-ACCESS-EPUB,Accessible EPUB (WCAG 2.1),$295,ACCESS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-ACCESS-MULTI,Multilingual Metadata,$149,ACCESS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-ANALYSIS,AI Manuscript Analysis,$195,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-COVER,AI Cover Concept Ideation,$95,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-LAUNCH,AI Launch Kit,$495,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-MARKETING,AI Marketing Kit,$295,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-METADATA,AI Metadata Optimization,$199,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-SENSITIVITY,AI Sensitivity Reading,$195,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-TRANSLATE,AI-Assisted Translation,$0.12/word,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class B,JMP-AUDIO-AI,) — default narration method. Human narration available as add-on election (,$699 (add-on) / Included in Pro & Signature,AUDIO,JMP-AUD-SYNTH-STD,SUPERSEDED,,yes - legacy $699 add-on conflicts with Matrix $500/up to 8 PFH policy,"Known conflict: AI audiobook price and production policy superseded by Matrix synthetic narration line item. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class C,JMP-AUDIO-DIST,Audiobook Distribution Setup,$195,AUDIO,,MIGRATE-AMENDED,,yes - not covered in Matrix; verify double-charge risk with $30 annual distribution fee,"Likely migrate only if distinct from annual distribution fee and CoreSource/audio routing policy. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class B,JMP-AUDIO-PRO,Professional Human Narration (Add-On Election),"$3,000–$5,000",AUDIO,JMP-AUD-HUMAN-SV,SUPERSEDED,,yes - legacy flat/range price conflicts with per-finished-hour Matrix model,"Known conflict: professional narration pricing model superseded by Matrix human narration PFH model. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-AUDIO-RS,Royalty Share Production (ACX),$395 (coord),AUDIO,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-BRAND,Author Branding Package,$495,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-COACH,Author Coaching Session,$195,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
