FAIL_CLOSED_CASE,RESULT,EVIDENCE
No author session,PASS,"GET /api/author/context -> 401 author_session_missing"
Publisher session used for author context,PASS,"app/api/author/context/route.ts returns 403 author_session_required"
Invalid access code,PASS,"POST /api/author/gate invalid -> 401 Invalid access code"
Artifact request without session,PASS,"GET /api/author/artifacts/{guid}/download -> 401"
Malformed artifact id,PASS_BY_SOURCE,"download route validates GUID and returns 404"
Artifact not in current context,PASS_BY_SOURCE_AND_TEST,"visibleArtifact required; author_active_stage_artifact_visibility PASS"
Artifact not delivered,PASS_BY_SOURCE,"download route requires Delivered"
Artifact not author-facing,PASS_BY_SOURCE,"download route requires Author Facing"
Artifact not current-approved,PASS_BY_SOURCE,"download route requires jm1pub_iscurrentapproved"
Superseded artifact,PASS_BY_SOURCE_AND_TEST,"superseded artifacts suppressed in context and download"
Wrong title decision,PASS_BY_TEST,"author_decision_closeout_propagation wrong title no state change"
Wrong package decision,PASS_BY_TEST,"author_decision_closeout_propagation wrong package no state change"
Wrong checksum,PASS_BY_TEST,"wrong artifact checksum holds"
Older artifact version approval,PASS_BY_TEST,"older artifact version cannot approve current stage artifact"
Missing session secret in production,PASS_BY_TEST,"production refuses missing AUTHOR_PORTAL_SESSION_SECRET"
Former static session fallback,PASS_BY_TEST,"former fallback rejected"
Secret rotation,PASS_BY_TEST,"valid sessions rejected after secret rotation"
Tier 2 without proof,PASS_BY_GOVERNANCE,"Authority Contract v1.1 prohibits Tier 2 until security proof passes"
