"CanonicalTitle","AuthorPublicName","SourceRecoveryState","LatestTrustworthySourceManuscript","LatestTrustworthyWorkingArtifact","LatestAuthorApprovedArtifact","DoNotDo","ImmediateManualRecoveryAction"
"Before You Were Born","Sean Crowley","SOURCE_EXISTS_NEEDS_BINDING","Manuscript evidence present; URL redacted","2026-07-21-Developmental-Editing-Before-You-Were-Born-Developmental-Memo.docx; status Delivered; checksum present","","Do not count the failed delivery as author review, do not start the review clock, and do not expose internal package artifacts.","Preserve failed Aug 2 send and author error response; mark failed package superseded for current operations; recover source; certify replacement; send only after every attachment opens/renders and recipient identity is verified."
"Establishing Glory: The Library","Jackie Smith, Jr.","SOURCE_EXISTS_NEEDS_VERSION_RECONCILIATION","Manuscript evidence present; URL redacted","2026-08-02-Developmental-Editing-Establishing-Glory-The-Library-author-cover-message.txt; status Delivered; checksum present","","Do not ask Jackie or the author to resend source while governed storage may already contain it.","Search governed storage and bind the current Developmental source before any author-facing replacement; do not request source from author unless governed storage is proven empty."
"The Long Watch","Jackie Smith, Jr.","SOURCE_EXISTS_NEEDS_BINDING","Manuscript evidence present; URL redacted","2026-08-02-Developmental-Editing-The-Long-Watch-author-cover-message.txt; status Delivered; checksum present","","Do not resend through the same defective package path or treat delivery as valid until container/open/render checks pass.","Inspect source binding and package assembly; produce only Developmentally Edited Manuscript, Developmental Review Memo, and review instructions if needed; certify before replacement send."
"The Intentional Leader","Jackie Smith, jr.","SOURCE_EXISTS_NEEDS_BINDING","Manuscript evidence present; URL redacted","The_Intentional_Leader_-_Corrected_Interior_Layout_Proof.pdf; status Approved; checksum present","The_Intentional_Leader_-_Corrected_Interior_Layout_Proof.pdf; status Approved; checksum present","Do not restart Editorial Review or Developmental work; do not send package-selection/prospect follow-up for this signed active project.","Confirm interior approval evidence, cover approval evidence, whether approved cover is concept or final full-wrap, and remaining production requirements before any production handoff or proof action."
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","SOURCE_GENUINELY_MISSING","No manuscript evidence confirmed","","","Do not treat this prospect/review row as active contracted editorial without agreement/source evidence.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The General’s Will and Last Testament","Iyorwuese Hagher","SOURCE_EXISTS_NEEDS_BINDING","Manuscript evidence present; URL redacted","2026-08-02-Developmental-Editing-The-General-s-Will-and-Last-Testament-author-cover-message.txt; status Delivered; checksum present","","Do not advance to Line until full author approval exists; do not send another Developmental package unless the Aug 11 delivery is proven failed.","Do not resend. Check inbound response evidence only; if author responded, reconcile the decision before advancing to Line."
"'TIL DEATH DO US PART","Jackie Smith, Jr.","SOURCE_EXISTS_NEEDS_VERSION_RECONCILIATION","Manuscript evidence present; URL redacted","","","Do not advance to the next editorial stage or production before the current author gate/artifact state is verified.","Monitor for the real prospect response; do not resend unless the response window or evidence requires Jackie-approved follow-up."
"Untitled","Atta Boateng","SOURCE_EXISTS_NEEDS_BINDING","Manuscript evidence present; URL redacted","2026-08-15-Author-Facing Recommended Editorial Path-Untitled-v1.pdf; status Delivered; checksum present","","Do not ask the author to resend source until governed JMP storage has been checked.","Monitor for the real prospect response; do not resend unless the response window or evidence requires Jackie-approved follow-up."
"You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Warriors and Angels: Liberating Inner Power in the Journey of Life","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Your Peace is a Priority: A Devotional Journal","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Journey: The Inspiration and Message Behind the Music","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"todays's new title","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Great Hair Restart: The Journal","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Taylor Made: My Life, My Story","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"More Than A Village: Raising Black Men in America","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Speech Therapy Works!: Juliana's Story","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"My ABCs","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"SHE: An Expose' of Her Insufficiencies","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Loving the Addict: While Taking Care of Yourself First","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Memoir of a Black Christian Nationalist: Seeds of Liberation","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Just What I Needed: Daily Devotional","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Inspirations from God: God is Gooood!","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Delicious Ideas!: The Legacy Cookbook","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Discipline and Direction: God's Leadership Style","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Divinely Inspired: Trauma Triumphed","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Come Out Of Hiding: Activating Deliverance","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Because the Lord is My Shepherd: Psalm 23 and Me","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Bodacious: Controversial and Provocative","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Aligned!: Unlocking the DNA of Authentic Faith","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Are You Sure That You Are Ready?: A Guide for Vendors","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Principal's Tale: A Self-Determined Leader","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Abortion!: George and Giovanna","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"27 Days to Overcoming Depression: Debunking All the Lies","","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The I Am In Me Part 2, Second Edition","Tekisha Wimbush","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The I Am in Me, Second Edition","Tekisha Wimbush","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The ESSENCE of Life","Tracy Norris","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Grandmothers Educating Minds, 2nd Edition","Toni Kleckley","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
