"Title / Working Title","Author Public/Pen Name","LifecycleContext","OperationallyActive","PortalWorkspaceState","Flags"
"'TIL DEATH DO US PART","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","Workspace required now: YES; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: REVIEW_REQUIRED",""
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","EDITORIAL_REVIEW","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE",""
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","EDITORIAL_REVIEW","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE",""
"Untitled","Atta Boateng","WAITING_PACKAGE_SELECTION","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE",""
"The Long Watch","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence not confirmed; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"The Long Watch","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"The General’s Will and Last Testament","Iyorwuese Hagher","ACTIVE_EDITORIAL","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"Before You Were Born","Sean Crowley","EDITORIAL_REVIEW","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"The Intentional Leader","Jackie Smith, jr.","ACTIVE_EDITORIAL","YES","Workspace required now: YES; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: REVIEW_REQUIRED",""
"The Intentional Leader","Jackie Smith, jr.","EDITORIAL_REVIEW","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"The Intentional Leader","Jackie Smith, jr.","EDITORIAL_REVIEW","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence not confirmed; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"The Long Watch","Jackie Smith Jr","ACTIVE_EDITORIAL","YES","Workspace required now: NO_OR_OPTIONAL; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: NO_EVIDENCE","STALLED_JMP_OWNED"
"Establishing Glory: The Library","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","Workspace required now: YES; Identity exists: YES; Provisioned: workspace evidence present; URL redacted; Activated/login proven: NO; CTA/access mismatch: REVIEW_REQUIRED","STALLED_JMP_OWNED"
"You're Still Not Crazy","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Your brain has too much what, mommy??","Essence Easley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Your Brain Has Too Much What, Mommy??","Essence Easley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Your Peace Is a Priority","Kiena Hughley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Your Peace Is a Priority","Kiena Hughley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Words of A Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"You're Still Not Crazy","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Words of a Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Why Faith Works For Some And Not For Others","Rodney Waller","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Words of a Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Why Faith Works for Some and Not for Others","Rodney Waller","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Warriors and Angels","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"What Goes up Must Come down Let's Face It","Carol Roye","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
