capability_id,capability_name,capability_type,definition,business_outcome,architecture_home,pillar_entity_boundary,lifecycle_state,promotion_state,control_owner,operational_owner,last_verified_date,evidence_source,executionlog_event_types,default_workload,entitlement_first_justification,commercialization_readiness,notes
CAPCAT-001,Universal Intake Engine,Enterprise workflow,Governed intake pattern for external and internal work,Consistent intake and routing across JM1,ADR-JM1-V3-EXT-001 v0.4,Commercial Hub / shared-services boundary,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,CAP011_LEVEL1_CONTROLLED_PROOF_COMPLETE,Power Apps / Dataverse / AOC,Existing Microsoft entitlement requires evaluation not automatic selection,NOT_YET_VERIFIED,Seeded from accepted ADR directive only
CAPCAT-002,Universal AI Router,Enterprise AI,Governed AI routing and model selection,Consistent AI execution with replaceable models,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,Azure AI Foundry,Existing entitlement mandatory evaluation,NOT_YET_VERIFIED,Do not infer operational status
CAPCAT-003,Universal Workflow Engine,Enterprise workflow,Governed orchestration of approvals and work state,Repeatable execution movement,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,Power Automate,Power Automate entitlement requires evaluation,NOT_YET_VERIFIED,
CAPCAT-004,Enterprise Work Management,Enterprise operations,Work planning and execution tracking,Operational throughput visibility,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,Planner / Dataverse / Teams,Existing entitlement requires evaluation,NOT_YET_VERIFIED,
CAPCAT-005,Universal Client Portal,Enterprise experience,Authenticated external stakeholder experience,Consistent portal access and project continuity,ADR-JM1-V3-EXT-001 v0.4,Commercial Hub; no cross-pillar unified views,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,AOC production proof,CAP008_LEVEL2_CANDIDATE_READY;CAP011_LEVEL1_CONTROLLED_PROOF_COMPLETE,Author Operating Center,Existing web/auth stack evaluated through CAP-008/CAP-011,CANDIDATE,Author portal proof exists; not generalized yet
CAPCAT-006,Enterprise Document Intelligence,Enterprise document,Document evidence and extraction governance,Reusable document processing,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,SharePoint / AI Foundry,Existing entitlement requires evaluation,NOT_YET_VERIFIED,
CAPCAT-007,Universal Approval System,Enterprise governance,Approval gates and evidence capture,Governed decision traceability,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Editorial approval gate evidence,AUTHOR_APPROVAL_RECEIVED,Dataverse / Power Automate,Existing entitlement requires evaluation,CANDIDATE,Publishing proof exists; not enterprise-promoted
CAPCAT-008,Enterprise Communications,Enterprise communications,Governed outbound/inbound communication,Traceable stakeholder communication,ADR-JM1-V3-EXT-001 v0.4,Commercial Hub with separated ministry boundary,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,ACS resources and publishing sender evidence,AUTHOR_NOTIFICATION_SENT,ACS / Outlook,Existing ACS and Outlook entitlements require evaluation,CANDIDATE,
CAPCAT-009,Enterprise AI Workforce,Enterprise agent workforce,Governed AI agents with autonomy controls,Reusable execution workforce,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,Agent 365 / Foundry,Existing entitlement requires evaluation,NOT_YET_VERIFIED,No agents commissioned by this package
CAPCAT-010,Enterprise Knowledge Graph,Enterprise memory,Relationship and evidence graph across governed systems,Better context and lineage,ADR-JM1-V3-EXT-001 v0.4,No cross-pillar unified views without approval,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,Accepted ADR directive,TO_CONFIRM,Dataverse / Graph,Existing entitlement requires evaluation,NOT_YET_VERIFIED,
CAPCAT-011,Enterprise Analytics Platform,Enterprise analytics,Metrics and reporting capability,Decision-grade visibility,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,CAP-010 refresh evidence,CAP010_WAVE2_OPERATIONAL_REFRESH_COMPLETED,Power BI / Fabric / Dataverse,Existing entitlement requires validation,NOT_YET_VERIFIED,
CAPCAT-012,Enterprise Command Center,Enterprise command,Command state and capability metrics,Enterprise operating visibility,ADR-JM1-V3-EXT-001 v0.4,Shared-services with entity boundaries,DEFINED,CANDIDATE,Jackie,TO_CONFIRM,2026-07-15,CAP-010 refresh evidence,CAP010_WAVE2_OPERATIONAL_REFRESH_COMPLETED,Dataverse / reporting,Existing entitlement requires evaluation,CANDIDATE,
CAPCAT-013,Capability Catalog,Governance register,Register of enterprise capabilities,Prevents one-off capability drift,ADR-JM1-V3-EXT-001 v0.4,Shared governance,DEFINED,CANDIDATE,Jackie,Governance Registrar,2026-07-15,This seed file,TO_CONFIRM,Repository then Dataverse only if approved,Spec-only repository seed first,CANDIDATE,Schema proposal only
