gate_id,title,stage,new_classification,reclassification,newly_unblocked,resume_action,sendable,waiting_owner,reevaluation_reason
eeffc5fb-5698-f111-8076-000d3a14673b,Untitled,A1 Editorial Review Acceptance,ARTIFACT_BLOCKED,PACKAGE_READY_PENDING_PERSISTENCE,YES,Generate and persist governed author-facing Editorial Review package before any author send.,NO,SYSTEM/PUBLISHING_RELEASE,"Shared author-facing Editorial Review package capability is now available; live send remains gated by deployment, governed artifact persistence, recipient identity, and notification policy."
576b9a51-688e-f111-8077-7c1e525b15c2,The General’s Will and Last Testament,A5 Proofreading Completion,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,SYSTEM/PUBLISHING_RELEASE,No change from latest governed gate classification.
f79d9b13-688e-f111-8077-000d3a14673b,The Long Watch,A5 Proofreading Completion,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,SYSTEM/PUBLISHING_RELEASE,No change from latest governed gate classification.
b2fdf644-678e-f111-8077-00224820105b,Establishing Glory: The Library,A5 Proofreading Completion,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,SYSTEM/PUBLISHING_RELEASE,No change from latest governed gate classification.
0fddf310-308e-f111-8077-6045bdd69738,The Long Watch,A5 Proofreading Completion,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,AUTHOR,No change from latest governed gate classification.
e996abe7-2f8e-f111-8077-000d3a14673b,Before You Were Born,A5 Proofreading Completion,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,SYSTEM/PUBLISHING_RELEASE,No change from latest governed gate classification.
5141f7db-0a8e-f111-8077-00224820105b,The Intentional Leader,A7 Interior Layout Approval,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
a74b0513-4c8b-f111-ab10-6045bdd69738,GATE-W1 Synthetic Recommendation Manuscript 20260729,A1 Editorial Review Acceptance,TEST_CERTIFICATION,TEST_CERTIFICATION,NO,No capability-triggered resume action.,NO,SYSTEM/PUBLISHING_RELEASE,No change from latest governed gate classification.
8b9bc945-6f89-f111-ab10-000d3a9eacee,JM1 Preview Synthetic Artifact B,A5 Proofreading Completion,TEST_CERTIFICATION,TEST_CERTIFICATION,NO,No capability-triggered resume action.,NO,AUTHOR,No change from latest governed gate classification.
8a6f4646-6f89-f111-ab10-000d3a14673b,JM1 Preview Synthetic Artifact A,A5 Proofreading Completion,TEST_CERTIFICATION,TEST_CERTIFICATION,NO,No capability-triggered resume action.,NO,AUTHOR,No change from latest governed gate classification.
be079017-0983-f111-ab0f-000d3a14673b,The Intentional Leader,A5 Proofreading Completion,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
ca4994e3-ea80-f111-ab0f-7c1e525b15c2,The Intentional Leader,A4 Copyediting Completion,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
b4b734a6-bd80-f111-ab0f-00224820105b,The Intentional Leader,A3 Line Editing Completion,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
b1c48e1d-e57d-f111-ab0f-00224820105b,The Intentional Leader,A2 Developmental Completion,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
899ef3cd-fb7b-f111-ab0f-7c1e525b15c2,The Intentional Leader,A2 Developmental Completion,ALREADY_SENT_RESPONDED,EXISTING_RESPONSE_CONSUMED,NO,No new author request.,NO,SYSTEM,Existing author response remains controlling; do not duplicate author-review request.
67396131-da7a-f111-ab0f-00224820105b,The Intentional Leader,A1 Editorial Review Acceptance,HISTORICAL,HISTORICAL,NO,No capability-triggered resume action.,NO,RECONCILIATION,No change from latest governed gate classification.
