gap_id,concept,field_or_requirement,gap_direction,current_canonical_location_or_status,path_b_status,impact,required_disposition
FG-001,jm1_titleproductform,jm1pub_title parent authority,RIDER_REQUIRED_PATH_B_ABSENT,jm1pub_title is canonical Intellectual Work and Title-Pubs authority,Not explicit in Path B name,Path B may create product-form rows without preserving Title-Pubs authority,EXTEND_EXISTING_ENTITY
FG-002,jm1_titleproductform,edition-level ISBN or approved distribution identifier,RIDER_REQUIRED_PATH_B_ABSENT,"jm1pub_edition required field; jm1pub_publishingasset has jm1pub_isbn13 and jm1pub_normalizedisbn",Not explicit,Edition identity and duplicate control could regress,EXTEND_EXISTING_ENTITY
FG-003,jm1_titleproductform,Publishing Track,RIDER_REQUIRED_PATH_B_ABSENT,"lib/commercial/catalog.ts PublishingTrack; funding track controls payer not SKU",Not explicit,Traditional $0 author billing and institutional/partnership payer logic could be lost,EXTEND_EXISTING_ENTITY
FG-004,jm1_titleproductform,package and slot entitlement fields,RIDER_REQUIRED_PATH_B_ABSENT,"packages editionSlots; editionCatalogDefinitions slotEligible; Package Edition Entitlement pending Slice 2",Not explicit,Package fulfillment and extra-edition billing cannot reconcile,EXTEND_EXISTING_ENTITY
FG-005,jm1_productformattribute,PF-04 narration method,RIDER_REQUIRED_PATH_B_ABSENT,"productForms attribute: narrationmethod AI / Human Single-Voice / Human Multi-Voice",Implied but not bound to canonical PF code,Audio product-form logic may drift,NEW_ENTITY_REQUIRED
FG-006,jm1_productformattribute,PF-05 complexity,RIDER_REQUIRED_PATH_B_ABSENT,"productForms attribute: complexity Standard / Complex; PF-05C prohibited",Implied but not bound to canonical PF code,Large-print complexity could become a ninth product form,NEW_ENTITY_REQUIRED
FG-007,jm1_productformattribute,PF-07 program-only/schema-inert boundary,RIDER_REQUIRED_PATH_B_ABSENT,"PF-07 slotEligible false, public false, provisional/non-public program",Not explicit,Webtoon/GFX could become sellable or slot-consuming without approval,NEW_ENTITY_REQUIRED
FG-008,jm1_productformattribute,PF-08 active scoping gate,RIDER_REQUIRED_PATH_B_ABSENT,"PF-08 slotEligible false; interactive programs inquiry/scoping only",Not explicit,Interactive work could bypass SOW and scope cap,NEW_ENTITY_REQUIRED
FG-009,jm1_releaseplan,release anchor date,PATH_B_PRESENT_CANON_ABSENT,"Title Edition has publication/release dates; no release-plan table on main",Present/implied by Path B releaseplan,Current canon needs a coordination record if release planning becomes operational,NEW_ENTITY_REQUIRED
FG-010,jm1_releaseplan,submission date,RIDER_REQUIRED_PATH_B_ABSENT,"Title Edition field set and execution events include distribution submission evidence",Not guaranteed in releaseplan,Distribution readiness and live proof would be under-specified,NEW_ENTITY_REQUIRED
FG-011,jm1_releaseplan,confirmed-live date,RIDER_REQUIRED_PATH_B_ABSENT,"Title Edition field set and TITLE_EDITION_LIVE event include live evidence",Not guaranteed in releaseplan,Release state could be asserted without distributor readback,NEW_ENTITY_REQUIRED
FG-012,jm1_productionmode,Publishing Track versus production mode conflict,PATH_B_PRESENT_CANON_ABSENT,"Publishing Track is approved funding/payer authority",Path B productionmode implied as separate authority,Conflating mode with track would reopen settled taxonomy,CONFLICT
FG-013,jm1_productionmode,scoping/SOW gate,RIDER_REQUIRED_PATH_B_ABSENT,"Quote/SOW Item and Custom Scoped Work are approved commercial boundaries",Not explicit,Quote-required services could be automated too early,CONFLICT
FG-014,jm1_artifact,Editorial Master version,RIDER_REQUIRED_PATH_B_ABSENT,"No single current field found; related artifact version label exists on jm1pub_editorialartifact",Not explicit,Source/master lineage may be lost between internal and author-facing packages,CONFLICT
FG-015,jm1_artifact,title-level artifact authority,RIDER_REQUIRED_PATH_B_ABSENT,"jm1pub_editorialartifact title lookup; SharePoint evidence layer",Not explicit,Generic artifact rows may not distinguish title authority,CONFLICT
FG-016,jm1_artifact,PF-level artifact authority,RIDER_REQUIRED_PATH_B_ABSENT,"jm1pub_editorialartifact publishingasset lookup; jm1pub_publishingasset file references",Not explicit,Edition/file authority may not attach to the correct product form,CONFLICT
FG-017,jm1_artifact,FTL evidence,RIDER_REQUIRED_PATH_B_ABSENT,No exact field found on main; should be represented as evidence reference and execution log linkage,Not explicit,FTL decision/evidence could be unverifiable,RESEARCH_REQUIRED
FG-018,jm1_artifact,CORRECTION_AUTHORIZED,RIDER_REQUIRED_PATH_B_ABSENT,"No exact field found on main; analogous approval gate and author decision fields exist",Not explicit,Correction proof releases could bypass authorization provenance,EXTEND_EXISTING_ENTITY
FG-019,jm1_distributionjob,distribution job state,PATH_B_PRESENT_CANON_ABSENT,"jm1pub_assetmarketplace stores presence; jm1_executionlog stores events; no job table",Present/implied by Path B distributionjob,Needed for retries and observable submission workflow,NEW_ENTITY_REQUIRED
FG-020,jm1_distributionjob,jm1_executionlog event contract,RIDER_REQUIRED_PATH_B_ABSENT,"Edition lifecycle event spec defines required payload and idempotency",Not explicit,Distribution mutations could become unaudited or non-idempotent,NEW_ENTITY_REQUIRED
FG-021,all,author-facing status projection,RIDER_REQUIRED_PATH_B_ABSENT,"Author Workspace modules intentionally hide internal command-center/system labels",Not explicit,Internal status could leak to author-facing surfaces or become inconsistent,EXTEND_EXISTING_ENTITY
FG-022,all,Slice 2 Dataverse catalog promotion,RIDER_REQUIRED_PATH_B_ABSENT,"Commercial catalog states Dataverse operational source pending Slice 2",Not a Path B dependency,Implementation before Slice 2 would encode draft target over unresolved catalog authority,RESEARCH_REQUIRED

