handoff_id,source_anchor,proof_asset,title,volume,unit_type,location,issue,line_editing_treatment,developmental_dependency,author_decision_required,theological_structural_continuity_defect,status
CAP001-LE-001,DEV-COM-092,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 1 — Releasing the Need to Reinvent Yourself,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-002,DEV-COM-093,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 2 — Returning to Your Own Life,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-003,DEV-COM-094,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 3 — The Courage to See Clearly,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-004,DEV-COM-095,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 4 — Escaping the Addiction to Urgency,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-005,DEV-COM-096,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 5 — Protecting Your Inner Environment,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-006,DEV-COM-097,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 6 — Learning to Trust Yourself Again,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-007,DEV-COM-098,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 7 — Receiving Without Earning,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-008,DEV-COM-099,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 8 — The Nervous System of Leadership,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-009,DEV-COM-100,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 9 — Healing Internal Contradiction,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-010,DEV-COM-101,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 10 — The Fear Beneath Impatience,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-011,DEV-COM-102,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 11 — Listening to Yourself Honestly,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-012,DEV-COM-103,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 12 — The Exhaustion of Overcomplication,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-013,DEV-COM-104,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 13 — Rebuilding Trust After Pressure,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-014,DEV-COM-105,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 14 — The Fear of Disappointing People,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-015,DEV-COM-106,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 15 — The Difference Between Possession and Stewardship,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-016,DEV-COM-107,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 16 — Strength Beyond Adrenaline,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-017,DEV-COM-108,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 17 — Learning to Trust Your Inner Knowing,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-018,DEV-COM-109,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 18 — The Armor We Build to Survive,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-019,DEV-COM-110,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 19 — The Exhaustion of Emotional Performance,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-020,DEV-COM-111,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 20 — The Quiet Weight of Influence,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-021,DEV-COM-112,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 21 — Returning to Life Internally,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-022,DEV-COM-113,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 22 — The Loneliness of Carrying Vision,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-023,DEV-COM-114,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 23 — The Emotional Patterns We Inherit,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-024,DEV-COM-115,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 24 — The Exhaustion of Living Against Yourself,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
CAP001-LE-025,DEV-COM-116,"The Intentional Leader, Volume I",The Intentional Leader,Volume I,Soul Dive companion,January 25 — Remembering What Is Still Beautiful,repetition,"Differentiate rhythm, phrasing, and emphasis while preserving author voice.",None,No,No,Queued for Line Editing; not started
