Row ID,Legacy SKU,Final Jackie Ruling,Final Commercial Status,Canonical SKU,Superseded By,Downstream Remediation,Public Visibility,Quoting Status,Contract Status
CAT-002,JMP-ACCESS-DYSLEXIA,MERGE,SUPERSEDED,JMP-ACC-EPUB-ENH,JMP-ACC-EPUB-ENH,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-011,JMP-AI-SERIES,RETIRE,RETIRED,JMP-AI-SERIES,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-013,JMP-AUDIO-AI,MERGE,SUPERSEDED,JMP-AUD-SYNTH-STD,JMP-AUD-SYNTH-STD,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-014,JMP-AUDIO-DIST,AMEND,ACTIVE,JMP-AUDIO-DIST,,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",CONDITIONAL,QUOTABLE,CONTRACTABLE
CAT-015,JMP-AUDIO-PRO,MERGE,SUPERSEDED,JMP-AUD-HUMAN-SV,JMP-AUD-HUMAN-SV,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-026,JMP-AUTH-PATRON,PROVISIONAL,PROVISIONAL,JMP-AUTH-PATRON,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-049,JMP-DES-EBOOK,MERGE,SUPERSEDED,JMP-EDT-EB-STD,JMP-EDT-EB-STD,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-050,JMP-DES-HARDCOVER,MERGE,SUPERSEDED,JMP-EDT-HC-STD,JMP-EDT-HC-STD,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-052,JMP-DES-INTERACTIVE,MERGE,SUPERSEDED,JMP-INT-EPUB3-STD,JMP-INT-EPUB3-STD,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-053,JMP-DES-LARGEPRINT,MERGE,SUPERSEDED,JMP-EDT-LP-STD,JMP-EDT-LP-STD,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-063,JMP-DIST-INGRAM-UPGRADE,RETIRE,RETIRED,JMP-DIST-INGRAM-UPGRADE,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-067,JMP-EDIT-COAUTHOR,AMEND,ACTIVE,JMP-EDIT-COAUTHOR,,"Update Dataverse seed, proposal templates, quote worksheets, contract schedule language, and website projection only after protected promotion.",PUBLIC,SOW-GATED,CONTRACTABLE
CAT-071,JMP-EDIT-INDEX,AMEND,ACTIVE,JMP-EDIT-INDEX,,"Update Dataverse seed, proposal templates, quote worksheets, contract schedule language, and website projection only after protected promotion.",PUBLIC,SOW-GATED,CONTRACTABLE
CAT-076,JMP-EDU-PODCAST,PROVISIONAL,PROVISIONAL,JMP-EDU-PODCAST,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-078,JMP-GHOST-ANTHOLOGY,AMEND,ACTIVE,JMP-GHOST-ANTHOLOGY,,"Update Dataverse seed, proposal templates, quote worksheets, contract schedule language, and website projection only after protected promotion.",PUBLIC,SOW-GATED,CONTRACTABLE
CAT-083,JMP-INTEL-AGENT,RETIRE,INTERNAL_ONLY,JMP-INTEL-AGENT,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-084,JMP-INTEL-DASHBOARD,PROVISIONAL,PROVISIONAL,JMP-INTEL-DASHBOARD,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-085,JMP-INTEL-PREDICT,RETIRE,RETIRED,JMP-INTEL-PREDICT,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-087,JMP-LEGAL-LCCN,RETIRE,RETIRED,JMP-LEGAL-LCCN,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-099,JMP-MKT-SERIAL,MERGE,SUPERSEDED,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-101,JMP-MKT-TIKTOK,PROVISIONAL,PROVISIONAL,JMP-MKT-TIKTOK,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-107,JMP-PKG-SIGNATURE,AMEND,ACTIVE,JMP-PKG-SIGNATURE,,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",CONDITIONAL,QUOTABLE,CONTRACTABLE
CAT-110,JMP-PROG-LOYALTY,RETIRE,RETIRED,JMP-PROG-LOYALTY,,"Remove author-facing references from catalog, proposal templates, quote worksheets, contract schedules, and website projection; preserve historical reference only.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-111,JMP-PROG-PARTNER-BASE,MERGE,SUPERSEDED,JMP-PARTNER-PARTNER,JMP-PARTNER-PARTNER,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-112,JMP-PROG-PARTNER-PREMIER,MERGE,SUPERSEDED,JMP-PARTNER-SIGNATURE,JMP-PARTNER-SIGNATURE,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-114,JMP-RIGHTS-FILM,PROVISIONAL,PROVISIONAL,JMP-RIGHTS-FILM,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
CAT-115,JMP-RIGHTS-FOREIGN,PROVISIONAL,PROVISIONAL,JMP-RIGHTS-FOREIGN,,"Keep out of public website, quotes, contracts, and package calculators pending separate approval.",NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE
