legacy_sku,legacy_name,legacy_price,category,matrix_v11_equivalent,conflict (yes/no + detail),proposed_disposition,jackie_ruling,notes
JMP-ACCESS-ALTTEXT,Alt Text & Image Description,$95,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-ACCESS-DYSLEXIA,Dyslexia-Friendly Accessibility Capability,Internal only,Accessibility,JMP-ACC-EPUB-ENH,PROVISIONAL - evaluate separate SKU vs sub-capability of JMP-ACC-EPUB-ENH. Not public and not activated.,PROVISIONAL-INTERNAL-EVALUATION,,Provisional candidate added by 2026-07-20 amendment. Internal/non-public/not activated.
JMP-ACCESS-EPUB,Accessible EPUB (WCAG 2.1),$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-ACCESS-MULTI,Multilingual Metadata,$149,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-ANALYSIS,AI Manuscript Analysis,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-COVER,AI Cover Concept Ideation,$95,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-LAUNCH,AI Launch Kit,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-MARKETING,AI Marketing Kit,$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-METADATA,AI Metadata Optimization,$199,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-SENSITIVITY,AI Sensitivity Reading,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AI-SERIES,AI Series Planning Capability,Internal only,AI / Planning,,PROVISIONAL - internal evaluation only. Not public and not activated.,PROVISIONAL-INTERNAL-EVALUATION,,Provisional candidate added by 2026-07-20 amendment. Internal/non-public/not activated.
JMP-AI-TRANSLATE,AI-Assisted Translation,$0.12/word,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUDIO-AI,) — default narration method. Human narration available as add-on election (,$699 (add-on) / Included in Pro & Signature,Uncategorized,JMP-AUD-SYNTH-STD,yes - legacy $699 add-on conflicts with Matrix $500/up to 8 PFH policy,SUPERSEDED,,"Known conflict: AI audiobook price and production policy superseded by Matrix synthetic narration line item. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-AUDIO-DIST,Audiobook Distribution Setup,$195,Uncategorized,,yes - not covered in Matrix; verify double-charge risk with $30 annual distribution fee,MIGRATE-AMENDED,,"Likely migrate only if distinct from annual distribution fee and CoreSource/audio routing policy. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-AUDIO-PRO,Professional Human Narration (Add-On Election),"$3,000–$5,000",Uncategorized,JMP-AUD-HUMAN-SV,yes - legacy flat/range price conflicts with per-finished-hour Matrix model,SUPERSEDED,,"Known conflict: professional narration pricing model superseded by Matrix human narration PFH model. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-AUDIO-RS,Royalty Share Production (ACX),$395 (coord),Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTH-BRAND,Author Branding Package,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
