gate_id,title,stage,classification,reason,waiting_owner
"eeffc5fb-5698-f111-8076-000d3a14673b","Untitled","A1 Editorial Review Acceptance","RECONCILIATION_REQUIRED","Awaiting full author approval for Editorial Review. Bound deliverable artifact bc3c6522-418c-f111-ab10-00224820105b; checksum 567a47a1c98ac2aaab5ec33b931f56c2ec0b916f12f98959e0cbc9430836d183.","SYSTEM/PUBLISHING_RELEASE"
"576b9a51-688e-f111-8077-7c1e525b15c2","The General’s Will and Last Testament","A5 Proofreading Completion","TEST_CERTIFICATION","HISTORICAL INBOUND RECONCILIATION. Message ID: AAMkAGNiOTQzYmYyLTk0MDEtNGVlYS05NTgyLWFhMmUxM2Y0MzhiOQBGAAAAAACfs17WM6mYQJ_3z0t8_9doBwD_Xbi2Wq2JSYocf3NG5QZjAAAAAAEMAAD_Xbi2Wq2JSYocf3NG5QZjAADWRVXbAAA= Received: 2026-08-10T22:22:21Z. Decision: APPROVED_WITH_CORRECTIONS. Notes: Author approved the corrected developmental editing review materials and affirmed fictionality/satire framing; author noted African pidgin English dialogue was marked in italics and asked Publishing to review it in preferred style. Manual recovery: YES. Production progression: 0.","SYSTEM/PUBLISHING_RELEASE"
"f79d9b13-688e-f111-8077-000d3a14673b","The Long Watch","A5 Proofreading Completion","RECONCILIATION_REQUIRED","Developmental Editing package is TECHNICALLY_RELEASED. Operational delivery certification is required before Awaiting Author Response.","SYSTEM/PUBLISHING_RELEASE"
"b2fdf644-678e-f111-8077-00224820105b","Establishing Glory: The Library","A5 Proofreading Completion","RECONCILIATION_REQUIRED","Developmental Editing package is TECHNICALLY_RELEASED. Operational delivery certification is required before Awaiting Author Response.","SYSTEM/PUBLISHING_RELEASE"
"0fddf310-308e-f111-8077-6045bdd69738","The Long Watch","A5 Proofreading Completion","RECONCILIATION_REQUIRED","Developmental Editing package sent through executive recovery. Awaiting author response.","AUTHOR"
"e996abe7-2f8e-f111-8077-000d3a14673b","Before You Were Born","A5 Proofreading Completion","RECONCILIATION_REQUIRED","Before You Were Born corrected delivery failed operational certification. Failed response clock from 2026-08-02T07:43:28Z invalidated; gate remains ready for one usable replacement delivery.","SYSTEM/PUBLISHING_RELEASE"
"5141f7db-0a8e-f111-8077-00224820105b","The Intentional Leader","A7 Interior Layout Approval","AUTHOR_ALREADY_RESPONDED","Author approved the 275-page pagination-corrected Interior Layout proof. No response clock required because the author already responded.","SYSTEM"
"a74b0513-4c8b-f111-ab10-6045bdd69738","GATE-W1 Synthetic Recommendation Manuscript 20260729","A1 Editorial Review Acceptance","TEST_CERTIFICATION","Author notification sent for GATE-W1 certification-only synthetic artifact. No author-facing message was sent.","SYSTEM/PUBLISHING_RELEASE"
"8b9bc945-6f89-f111-ab10-000d3a9eacee","JM1 Preview Synthetic Artifact B","A5 Proofreading Completion","TEST_CERTIFICATION","notification sent - synthetic preview proof only","AUTHOR"
"8a6f4646-6f89-f111-ab10-000d3a14673b","JM1 Preview Synthetic Artifact A","A5 Proofreading Completion","TEST_CERTIFICATION","notification sent - synthetic preview proof only","AUTHOR"
"be079017-0983-f111-ab0f-000d3a14673b","The Intentional Leader","A5 Proofreading Completion","AUTHOR_ALREADY_RESPONDED","Proofreading approved by author. Interior Layout autostart is authorized.","SYSTEM"
"ca4994e3-ea80-f111-ab0f-7c1e525b15c2","The Intentional Leader","A4 Copyediting Completion","AUTHOR_ALREADY_RESPONDED","Author replied ""I approve!"" to the Copyediting package follow-up email. Classification: approved without changes. Outlook message ID: AAMkAGNiOTQzYmYyLTk0MDEtNGVlYS05NTgyLWFhMmUxM2Y0MzhiOQBGAAAAAACfs17WM6mYQJ_3z0t8_9doBwD_Xbi2Wq2JSYocf3NG5QZjAAAAAAEMAAD_Xbi2Wq2JSYocf3NG5QZjAADGlJE-AAA=. Thread evidence: Re: Volume I Copyediting Review Package - The Intentional Leader; package prompt message ID: AAMkAGNiOTQzYmYyLTk0MDEtNGVlYS05NTgyLWFhMmUxM2Y0MzhiOQBGAAAAAACfs17WM6mYQJ_3z0t8_9doBwD_Xbi2Wq2JSYocf3NG5QZjAAAAAAEJAAD_Xbi2Wq2JSYocf3NG5QZjAADGlU-BAAA=. No attachments on author reply.","SYSTEM"
