legacy_sku,final_ruling,surviving_authority,migration_status,notes
JMP-ACCESS-ALTTEXT,MIGRATE,JMP-ACCESS-ALTTEXT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-ACCESS-EPUB,MIGRATE,JMP-ACCESS-EPUB,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-ACCESS-MULTI,MIGRATE,JMP-ACCESS-MULTI,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-ANALYSIS,MIGRATE,JMP-AI-ANALYSIS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-COVER,MIGRATE,JMP-AI-COVER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-LAUNCH,MIGRATE,JMP-AI-LAUNCH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-MARKETING,MIGRATE,JMP-AI-MARKETING,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-METADATA,MIGRATE,JMP-AI-METADATA,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-SENSITIVITY,MIGRATE,JMP-AI-SENSITIVITY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AI-TRANSLATE,MIGRATE,JMP-AI-TRANSLATE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUDIO-AI,MERGE,JMP-AUD-SYNTH-STD,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-AUDIO-DIST,AMEND,Jackie ruling required,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Distribution setup must not duplicate the governed annual distribution fee; retain only a distinct non-duplicative setup scope after pricing authority confirms.
JMP-AUDIO-PRO,MERGE,JMP-AUD-HUMAN-SV,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-AUDIO-RS,MIGRATE,JMP-AUDIO-RS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
