SOURCE_RECORD_ID,TITLE_NAME,COMMERCIAL_GATE_STATUS,EDITORIAL_GATE_STATUS,STAGE_TRUST_CLASSIFICATION,STRICTER_BOUNDARY
W1-001,(Untitled),NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-002,(Untitled),NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-003,101 Wisdom Lessons for Life and Living,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-004,27 Days to Overcoming Depression: Debunking All the Lies,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-005,A Principal's Tale: A Self-Determined Leader,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-006,A Trubie's Guide Pt. 1,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-007,A Trubie's Guide Pt. 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-008,Abortion!: George and Giovanna,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-009,Aligned!: Unlocking the DNA of Authentic Faith,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-010,Are You Sure That You Are Ready?: A Guide for Vendors,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-011,Because the Lord is My Shepherd: Psalm 23 and Me,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-012,Bodacious: Controversial and Provocative,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
