Requirement ID,Domain,Requirement,Classification,Evidence basis,Disposition / action taken,Remaining gap
REQ-001,Commissioning exception package,"Treat prior commissioning-exception, Microsoft utilization, and productization directive as one governed package",STILL_REQUIRED,No single consolidated package found on origin/main or reconciliation branch.,This report package creates the missing consolidated reconciliation without reopening settled production decisions.,None after this package; future changes require separate authorization.
REQ-002,Commissioning exception,Confirm current Dataverse title/package/gate/runtime state for The Intentional Leader before any exception handling,COMPLETED_ELSEWHERE,"PROGRAM-002 Phase I Commissioning Report and Full Author Workspace report certify current title, package, workspace, agreement, Stripe, and Commissioning Hold state.",No re-execution performed. Evidence referenced in index.,None.
REQ-003,Commissioning exception,"Preserve ordinary cadence and do not broadly release, pay, post to BC, or promote titles",COMPLETED_ELSEWHERE,"PROGRAM-002 reports explicitly retain no public release, retailer/Ingram, royalty/payment, or BC posting authority.",Boundary retained in this package.,None.
REQ-004,Commissioning exception,"Document exception scope, purpose, authority, expiration, restoration, and evidence expectations",PARTIALLY_COMPLETED,Purpose and operational boundaries exist in PROGRAM-002 reports; explicit expiration/restoration criteria are not found as a closed action.,Jackie Action Register asks for explicit exit/restoration approval.,Jackie decision required.
REQ-005,Commissioning exception,"Impact-map cadence, hold, release, notification, author workspace, response-clock, execution logging, and Publisher Today surfaces",PARTIALLY_COMPLETED,"Workspace, hold, and execution logging are evidenced. Notification Engine, response-clock, and Publisher Today display semantics are not proven as one governed map.",Delta report records current impact disposition and unresolved Publisher Today decision.,Validate Publisher Today/notification display rules before promotion.
REQ-006,Commissioning exception,Implement only the smallest governed change required for commissioning exception handling,SUPERSEDED,Origin/main already contains later commissioned production package and catalog repair work; the clean branch contains reconstructed operating-center batches.,No blind reimplementation performed.,Only future approved gaps should be implemented.
REQ-007,Commissioning exception,"Show commissioning status in Publisher Today only when backed by valid business approval, reason, expiration, evidence, and restoration state",STILL_REQUIRED,No current evidence proves this exact Publisher Today surfaced contract.,Recorded as Jackie action and future implementation gate.,Jackie/product approval and source validation required.
REQ-008,Microsoft utilization,"Create Microsoft capability utilization matrix covering Dynamics, Customer Service, Customer Insights, Power Apps, Dataverse, Business Central, Foundry, Agent 365, Entra, SharePoint/Purview/Defender/Azure Monitor, GitHub/Azure DevOps",STILL_REQUIRED,No completed consolidated utilization matrix found in reviewed PROGRAM-002/004 or architecture records.,Created PROGRAM-004 Microsoft Capability Utilization Matrix.,Entitlement/licensing readback still required before spend or activation.
REQ-009,Microsoft utilization,Classify reuse/expansion opportunities and current substitutes without assuming unverified licenses,STILL_REQUIRED,"Agent 365 and several Microsoft workloads appear architecture-level or candidate-level, not entitlement-proven.",Matrix uses unverified licensing language and conservative recommendations.,License-owner review required.
REQ-010,Agent 365 / Foundry,Reconcile Agent 365 and Foundry architecture records against current implementation evidence,PARTIALLY_COMPLETED,PROGRAM-003A proves Azure/Foundry runtime path and Dataverse memory/writeback; Agent 365 registry/blueprint remains not fully operationalized.,Delta report separates proven Foundry runtime from Agent 365 future governance.,Controlled Agent 365 proof remains required.
REQ-011,Agent 365 / Foundry,Do not reopen A2/Dev Editing settled governance decisions,COMPLETED_ELSEWHERE,PROGRAM-003A states A2 slice is not reopened and Dev Editing remains live lane.,Boundary preserved.,None.
REQ-012,Productization,Create productization rider/readiness register separating reusable patterns from internal-only JM1 operations,STILL_REQUIRED,No complete productization readiness register found in reviewed artifacts.,Created Productization Readiness Register.,Future productization requires separate governed item.
REQ-013,Productization,"Evaluate portability, tenant isolation, hard-coded elements, observability, security, licensing, and market potential",STILL_REQUIRED,"Existing reports evidence individual operational readiness, not a consolidated productization lens.",Register documents these fields conservatively.,None for documentation; implementation gaps remain per register.
REQ-014,Catalog repair,Confirm catalog cover repair evidence and no duplicate broad catalog migration,COMPLETED_ELSEWHERE,origin/main contains commit 7bbcb9f Fix Dataverse catalog cover fallback plus catalog projection test evidence.,Referenced only; no catalog migration re-run.,None.
REQ-015,Stripe / Author Operating Center,Reconcile Stripe Connect and Author Operating Center evidence,PARTIALLY_COMPLETED,PROGRAM-002 Phase I certifies Stripe Connect/payment for commissioned title; clean branch reconstructs Author Operating Center. Broader legal-entity/live-mode/revocation/cross-title isolation requirements are not fully closed.,Captured as partial and Jackie/technical action.,Stripe governance expansion decisions required before broad use.
REQ-016,Repository hygiene,"Preserve current production state and avoid direct merge/rebase, force-push, evidence deletion, broad evidence commit, pnpm migration, asset deletion, broad author activation, release, payout, cadence-policy change",COMPLETED_ELSEWHERE,This reconciliation produced docs/registers only; no source/prod/evidence mutation performed.,Unauthorized-change confirmation included in delta report.,None.
