canonical_key,title,author,classification,reason,record_count,title_id,intake_refs,sharepoint_paths
title:til death do us part,'TIL DEATH DO US PART,Jackie Smith Jr,REAL_ACTIVE,Known real title or live SharePoint/Dataverse editorial evidence,3,f79006b7-f595-f111-8076-00224820105b,JMP-INT-202608-3W6Q6L,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202608-3W6Q6L%20-%20Jackie%20Smith%20Jr%20-%20TIL%20DEATH%20DO%20US%20PART/01_Manuscript/Original/JMP-INT-202608-3W6Q6L%20-%20Til%20Death%20Do%20Us%20Part%20Full%20Manuscript.md
title:gate w1 app service staging long docx join 1785342346355,GATE-W1 App Service Staging Long DOCX Join 1785342346355,Gate W1 Long Docx Synthetic,SYNTHETIC,Classified from record name/path/status evidence,2,11590673-6a8b-f111-ab10-7c1e525b15c2,JMP-INT-202607-3R2ETT,
title:gate w1 app service staging docx join 1785342161378,GATE-W1 App Service Staging DOCX Join 1785342161378,Gate W1 Docx Synthetic,SYNTHETIC,Classified from record name/path/status evidence,2,7a8102e6-698b-f111-ab10-7c1e525b15c2,JMP-INT-202607-BUAKCY,
title:gate w1 app service staging multipart join 1785341972350,GATE-W1 App Service Staging Multipart Join 1785341972350,Gate W1 Multipart Synthetic,SYNTHETIC,Classified from record name/path/status evidence,3,a31f2e58-698b-f111-ab0f-7ced8dce6fda,JMP-INT-202607-95IAEC,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-95IAEC%20-%20Gate%20W1%20Multipart%20Synthetic%20-%20GATE-W1%20App%20Service%20Staging%20Multipart%20Join%201785341972350/01_Manuscript/Original/JMP-INT-202607-95IAEC%20-%20gate-w1-synthetic-manuscript-20260729.pdf
title:gate w1 app service staging positive join 1785341427544,GATE-W1 App Service Staging Positive Join 1785341427544,Gate W1 Join Synthetic,SYNTHETIC,Classified from record name/path/status evidence,3,8bcc42c8-688b-f111-ab10-7c1e525b15c2,JMP-INT-202607-K4LYCS,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-K4LYCS%20-%20Gate%20W1%20Join%20Synthetic%20-%20GATE-W1%20App%20Service%20Staging%20Positive%20Join%201785341427544/01_Manuscript/Original/JMP-INT-202607-K4LYCS%20-%20gate-w1-synthetic-manuscript-20260729.pdf
title:gate w1 synthetic recommendation manuscript 20260729,GATE-W1 Synthetic Recommendation Manuscript 20260729,Gate W1 Synthetic,SYNTHETIC,Classified from record name/path/status evidence,4,48e831f0-418b-f111-ab10-000d3a1a9efa,JMP-INT-202607-YEUSKK,/drives/b!mA37NWi8UEKdDYwH1o5AJNWKIBAoAPBIn_pxeBKSSDVm9PH59uWnQpr1oD4m79se/root:/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-YEUSKK - Gate W1 Synthetic - GATE-W1 Synthetic Recommendation Manuscript 20260729/jm1-gate-w1-author-artifact.txt
title:gate w1 synthetic certification manuscript 20260729,GATE-W1 Synthetic Certification Manuscript 20260729,Gate W1 Synthetic,CERTIFICATION,Classified from record name/path/status evidence,2,7f9b991c-418b-f111-ab10-7c1e525b15c2,JMP-INT-202607-OYZKEI,
title:jm1 synthetic intake final proof 20260727170349,JM1 Synthetic Intake Final Proof 20260727170349,JM1 SyntheticFinal20260727170349,SYNTHETIC,Classified from record name/path/status evidence,3,17b02bdb-7a8a-f111-ab10-6045bdd69678,JMP-INT-202607-HHGW3M,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-HHGW3M%20-%20JM1%20SyntheticFinal20260727170349%20-%20JM1%20Synthetic%20Intake%20Final%20Proof%2020260727170349/01_Manuscript/Original/JMP-INT-202607-HHGW3M%20-%20JM1-SEV1-Synthetic-Final-Manuscript-20260727170349.pdf
title:jm1 synthetic intake final proof 20260727172010,JM1 Synthetic Intake Final Proof 20260727172010,JM1 SyntheticFinal20260727172010,SYNTHETIC,Classified from record name/path/status evidence,3,14b02bdb-7a8a-f111-ab10-6045bdd69678,JMP-INT-202607-3BMEHZ,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-3BMEHZ%20-%20JM1%20SyntheticFinal20260727172010%20-%20JM1%20Synthetic%20Intake%20Final%20Proof%2020260727172010/01_Manuscript/Original/JMP-INT-202607-3BMEHZ%20-%20JM1-SEV1-Synthetic-Final-Manuscript-20260727172010.pdf
title:jm1 synthetic intake restored proof 20260727173332,JM1 Synthetic Intake Restored Proof 20260727173332,JM1 SyntheticRestored20260727173332,SYNTHETIC,Classified from record name/path/status evidence,3,f2af2bdb-7a8a-f111-ab10-6045bdd69678,JMP-INT-202607-AMDO4I,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-AMDO4I%20-%20JM1%20SyntheticRestored20260727173332%20-%20JM1%20Synthetic%20Intake%20Restored%20Proof%2020260727173332/01_Manuscript/Original/JMP-INT-202607-AMDO4I%20-%20JM1-SEV1-Synthetic-Restored-Manuscript-20260727173332.pdf
title:jm1 duplicate proof 20260727173641,JM1 Duplicate Proof 20260727173641,JM1 Duplicate20260727173641,DUPLICATE,Classified from record name/path/status evidence,3,39515cd9-7a8a-f111-ab10-000d3a1a9efa,JMP-INT-202607-Z8G8Y0,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-Z8G8Y0%20-%20JM1%20Duplicate20260727173641%20-%20JM1%20Duplicate%20Proof%2020260727173641/01_Manuscript/Original/JMP-INT-202607-Z8G8Y0%20-%20JM1-SEV1-Duplicate-20260727173641.pdf
