developmental_anchor,cap002_item,manuscript_anchor,line_editing_disposition,line_editing_result,downstream_stage
DEV-COM-092,CAP001-LE-001,January 1 — Releasing the Need to Reinvent Yourself,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-093,CAP001-LE-002,January 2 — Returning to Your Own Life,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-094,CAP001-LE-003,January 3 — The Courage to See Clearly,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-095,CAP001-LE-004,January 4 — Escaping the Addiction to Urgency,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-096,CAP001-LE-005,January 5 — Protecting Your Inner Environment,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-097,CAP001-LE-006,January 6 — Learning to Trust Yourself Again,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-098,CAP001-LE-007,January 7 — Receiving Without Earning,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-099,CAP001-LE-008,January 8 — The Nervous System of Leadership,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-100,CAP001-LE-009,January 9 — Healing Internal Contradiction,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-101,CAP001-LE-010,January 10 — The Fear Beneath Impatience,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-102,CAP001-LE-011,January 11 — Listening to Yourself Honestly,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-103,CAP001-LE-012,January 12 — The Exhaustion of Overcomplication,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-104,CAP001-LE-013,January 13 — Rebuilding Trust After Pressure,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-105,CAP001-LE-014,January 14 — The Fear of Disappointing People,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
