"Title / Working Title","Author Public/Pen Name","LifecycleContext","OperationallyActive","Automation Safe?","AutomationLane","ReconciliationReason","Flags","NextManualRecoveryAction"
"'TIL DEATH DO US PART","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","EXTERNAL_WAIT","Active author editorial","","","Verify latest approved artifact and complete next editorial/author-approval step manually."
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","","Prepare or verify prospect Editorial Review and package-selection communication."
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","","Prepare or verify prospect Editorial Review and package-selection communication."
"Untitled","Atta Boateng","EDITORIAL_REVIEW","YES","EXTERNAL_WAIT","Prospect first-touch / package selection","","","Prepare or verify prospect Editorial Review and package-selection communication."
"The Long Watch","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","ASSISTED_MANUAL","Active author editorial","","STALLED_JMP_OWNED","Verify latest approved artifact and complete next editorial/author-approval step manually."
"The Long Watch","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","ASSISTED_MANUAL","Active author editorial","","STALLED_JMP_OWNED","Verify latest approved artifact and complete next editorial/author-approval step manually."
"The General’s Will and Last Testament","Iyorwuese Hagher","ACTIVE_EDITORIAL","YES","ASSISTED_MANUAL","Active author editorial","","STALLED_JMP_OWNED","Verify latest approved artifact and complete next editorial/author-approval step manually."
"Before You Were Born","Sean Crowley","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","STALLED_JMP_OWNED","Prepare or verify prospect Editorial Review and package-selection communication."
"The Intentional Leader","Jackie Smith, jr.","ACTIVE_EDITORIAL","YES","EXTERNAL_WAIT","Active author editorial","","","Verify latest approved artifact and complete next editorial/author-approval step manually."
"The Intentional Leader","Jackie Smith, jr.","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","STALLED_JMP_OWNED","Prepare or verify prospect Editorial Review and package-selection communication."
"The Intentional Leader","Jackie Smith, jr.","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","STALLED_JMP_OWNED","Prepare or verify prospect Editorial Review and package-selection communication."
"The Long Watch - Intake Success Validation","Jackie Smith Jr","EDITORIAL_REVIEW","YES","ASSISTED_MANUAL","Prospect first-touch / package selection","","","Prepare or verify prospect Editorial Review and package-selection communication."
"The Long Watch","Jackie Smith Jr","ACTIVE_EDITORIAL","YES","ASSISTED_MANUAL","Active author editorial","","STALLED_JMP_OWNED","Verify latest approved artifact and complete next editorial/author-approval step manually."
"Establishing Glory: The Library","Jackie Smith, Jr.","ACTIVE_EDITORIAL","YES","ASSISTED_MANUAL","Active author editorial","","STALLED_JMP_OWNED","Verify latest approved artifact and complete next editorial/author-approval step manually."
"You're Still Not Crazy","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Your brain has too much what, mommy??","Essence Easley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Your Brain Has Too Much What, Mommy??","Essence Easley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Your Peace Is a Priority","Kiena Hughley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Your Peace Is a Priority","Kiena Hughley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Words of A Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"You're Still Not Crazy","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Words of a Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Why Faith Works For Some And Not For Others","Rodney Waller","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Words of a Troubled Soul","David Williams","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Why Faith Works for Some and Not for Others","Rodney Waller","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
