item,action,dataverseId,graphItemId,checksum,note
Editorial Assessment - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,d890ae9e-5ca7-f111-b8de-6045bdd69738,01DF3SEQJBND2LTG4HPBHJBWSEDKWJUBV5,9a25932de43373bcbccb90deb0db6b0b337034c9cac333d66a569c2d2fb1fec0,Internal synthetic package dependency repair artifact.
Package Manifest - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,9f251aa4-5ca7-f111-b8de-6045bdd69435,01DF3SEQIN236SK2YD2VGKAZDBVIVNY45J,4d63347e37883ffcb4efcd16831aecb9e2cba548697ab32568860e43c19d63c0,Internal synthetic package dependency repair artifact.
Editorial Review Instructions - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,334141a0-5ca7-f111-b8de-7c1e525b15c2,01DF3SEQJKUEQNDFJVXZAYRMA5CTAMTK5I,5101ac2b7f4622ece5a83ab69307e4d760ac9f8f87e0267eae204fa4b79f5b94,Internal synthetic package dependency repair artifact.
Editorial Review QA Evidence - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,1e9fbba0-5ca7-f111-b8de-000d3a9eacee,01DF3SEQP4QH6FUU5XRZELKPFVDQ3SSP44,31e2058cc2e14380209d42a5ae781aa81851d3a77bb7fb83ee797e21dc1d9692,Internal synthetic package dependency repair artifact.
Scope and Risk Register - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,1c9fbba0-5ca7-f111-b8de-000d3a9eacee,01DF3SEQPHLBJPWCLSLVCL2O7MDDYBTT46,a8ac8f2db610c27c0f641f465488e324c614dae7b8192c3a895a5c8fcbfa5aa6,Internal synthetic package dependency repair artifact.
Recommended Editorial Path - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,af0083a1-5ca7-f111-b8dd-3833c5df525c,01DF3SEQKOQG4FK6Z6S5G2P3LCVZDKQRT7,2db62d6ae552c3ecfb31400fd143d51f8a82a25432958df42d9550d140d4d03b,Internal synthetic package dependency repair artifact.
GATE-W1 Synthetic Package Source Evidence - Editorial Review - GATE-W1 Synthetic Recommendation Manuscript 20260729,CREATED_OR_UPDATED,d590ae9e-5ca7-f111-b8de-6045bdd69738,01DF3SEQKDFFQHMF2J7VCZJ5QB7F4YTSSV,7781d7f43f86168af3d2e2e7c81ca3981f9e785530f4b68a1a1f2527a9e47b70,Internal synthetic package dependency repair artifact.
PACKAGE_MANIFEST_CREATED,CREATED_OR_REUSED,22bc5aa2-5ca7-f111-b8de-000d3a14673b,,,2026-09-03T05:59:37Z
PACKAGE_QA_COMPLETED,CREATED_OR_REUSED,6e21949f-5ca7-f111-b8de-00224820105b,,,2026-09-03T05:59:37Z
PACKAGE_CADENCE_SCHEDULED,CREATED_OR_REUSED,219fbba0-5ca7-f111-b8de-000d3a9eacee,,,2026-09-03T05:59:37Z
EDITORIAL_PACKAGE_HANDOFF_COMPLETED,CREATED_OR_REUSED,344141a0-5ca7-f111-b8de-7c1e525b15c2,,,2026-09-03T05:59:37Z
assessmentRolePrecedence,PATCHED,d890ae9e-5ca7-f111-b8de-6045bdd69738,,,Bumped modifiedon so editorialMemo and reviewInstructions resolve to distinct artifacts.
