Title,Author,Canonical_Title_ID,Intake_ID,Opportunity_ID,Current_CC010_Stage,Latest_Trustworthy_Artifact,Artifact_Hash_Version,Latest_Proven_Completed_Boundary,Earliest_Unresolved_Governed_Boundary,Author_Approval_State,Internal_Review_State,Waiting_On,Current_Blocker,Next_Governed_Action,Automation_Capability_Status,Safe_to_Resume,Mutation_Required
'TIL DEATH DO US PART,Jackie Smith Jr,f79006b7-f595-f111-8076-00224820105b,JMP-INT-202608-3W6Q6L,,Stage 0 / Editorial Review,Not located,,None proven,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,No active author action located,In Progress,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,YES_IF_SOURCE_AND_GATE_CHECKS_PASS,RUNTIME_REPLAY_APPLIED
Untitled,Atta Boateng,ca68c994-fd89-f111-ab10-00224820105b,JMP-INT-202607-422JSZ,,Stage 0 / Editorial Review,Governed Source Manuscript - Editorial Review - Untitled,732bb73d786a25e860ad926d75c6e0446ba415394a4e262eb6758a3806ab96d2,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,No active author action located,In Progress,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,YES_IF_SOURCE_AND_GATE_CHECKS_PASS,RUNTIME_REPLAY_APPLIED
The Long Watch,Jackie Smith Jr,a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2,JMP-INT-202607-6R2MPZ,,Developmental Editing,Package Manifest v2 - Developmental Editing - The Long Watch,3a7888306d031883a146ff2e0e75dc4f22fb86206aa83e29600873ee04a5951d,None proven,Await Developmental Editing author response/full approval,In Progress,In Progress,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO,RUNTIME_REPLAY_APPLIED
The General’s Will and Last Testament,Iyorwuese Hagher,2d21ab5b-4d80-f111-ab0f-7c1e525b15c2,JMP-INT-202607-DL2T20,,Developmental Editing,Package Manifest v2 - Developmental Editing - The General’s Will and Last Testament,2e260cd51384e23cc8965f0200ccaabe77efef814d8d005b66c39dd730aa3054,Developmental Complete,Await Developmental Editing author response/full approval,In Progress,In Progress,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO,RUNTIME_REPLAY_APPLIED
Before You Were Born,Sean Crowley,91c5e1ef-2980-f111-ab0f-7c1e525b15c2,JMP-INT-202607-LQPHEK,,Developmental Editing,Developmental Memo - Developmental Editing - Before You Were Born,72eaab6b05ca7d4224b4f6361e544198529b277b1e5601f69ce8301e7d387c99,None proven,External dependency for Developmental Editing,No active author action located,Author Review,External,External dependency for Developmental Editing,External dependency for Developmental Editing,PARTIAL - route commissioned; execution requires clean boundary,NO,NO - dry-run evidence first
Establishing Glory: The Library,"Jackie Smith, Jr.",f1908dc9-5775-f111-ab0f-6045bdd69435,JMP-INT-202606-UFYG6O,,Developmental Editing,Developmental Memo - Developmental Editing - Establishing Glory: The Library,7e5a751d511dd7788309af86399e80bbdcfdeb053774621cd410af7c5b3f1150,None proven,Await Developmental Editing author response/full approval,In Progress,In Progress,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO,RUNTIME_REPLAY_APPLIED
The Intentional Leader,Jackie Smith Jr,e797232b-da7a-f111-ab0f-00224820105b,JMP-INT-202607-0W5PTQ,,Editorial Internal QA,intentional-leader-final-pagination-corrected-proof-2026-08-03-v1,0138d7a474cc4ab2d8369b4ae0642842d8bdbd041ec9029347b15daf051975ed,Proofreading Complete,Confirm next boundary after Editorial Internal QA,No active author action located,Complete,None,Confirm next boundary after Editorial Internal QA,Confirm next boundary after Editorial Internal QA,NOT_COMMISSIONED,NO,NO - dry-run evidence first
Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ,Quanisha Dockery,,JMP-INT-202608-0AOS7L,,Stage 0 / Editorial Review,Not located,,None proven,Confirm next boundary after Stage 0 / Editorial Review,No active author action located,Pending,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO,NO - dry-run evidence first
INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-0W5PTQ,Jackie Smith Jr,,,,Stage 0 / Editorial Review,Not located,,Editorial Review Complete,Confirm next boundary after Stage 0 / Editorial Review,No active author action located,Complete,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO,NO - dry-run evidence first
INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-422JSZ,Atta Boateng,,,,Stage 0 / Editorial Review,Not located,,Editorial Review Complete,Confirm next boundary after Stage 0 / Editorial Review,No active author action located,Complete,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO,NO - dry-run evidence first
