canonical_key,title,waiting_on,stage,age_basis,blocker
title:til death do us part,'TIL DEATH DO US PART,System,Stage 0 / Editorial Review,2026-08-13T02:10:34Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:gate w1 app service staging long docx join 1785342346355,GATE-W1 App Service Staging Long DOCX Join 1785342346355,System,Stage 0 / Editorial Review,2026-07-30T19:00:03Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:gate w1 app service staging docx join 1785342161378,GATE-W1 App Service Staging DOCX Join 1785342161378,System,Stage 0 / Editorial Review,2026-07-30T18:50:03Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:gate w1 app service staging multipart join 1785341972350,GATE-W1 App Service Staging Multipart Join 1785341972350,System,Stage 0 / Editorial Review,2026-07-30T18:40:04Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:gate w1 app service staging positive join 1785341427544,GATE-W1 App Service Staging Positive Join 1785341427544,System,Stage 0 / Editorial Review,2026-07-30T18:30:03Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:gate w1 synthetic recommendation manuscript 20260729,GATE-W1 Synthetic Recommendation Manuscript 20260729,Author,Stage 0 / Editorial Review,2026-08-06T19:40:02Z,Await Stage 0 / Editorial Review author response/full approval
title:gate w1 synthetic certification manuscript 20260729,GATE-W1 Synthetic Certification Manuscript 20260729,System,Stage 0 / Editorial Review,2026-07-30T18:10:02Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:jm1 synthetic intake final proof 20260727170349,JM1 Synthetic Intake Final Proof 20260727170349,System,Stage 0 / Editorial Review,2026-07-28T12:14:22Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:jm1 synthetic intake final proof 20260727172010,JM1 Synthetic Intake Final Proof 20260727172010,System,Stage 0 / Editorial Review,2026-07-28T12:14:20Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:jm1 synthetic intake restored proof 20260727173332,JM1 Synthetic Intake Restored Proof 20260727173332,System,Stage 0 / Editorial Review,2026-07-28T12:14:06Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:jm1 duplicate proof 20260727173641,JM1 Duplicate Proof 20260727173641,System,Stage 0 / Editorial Review,2026-07-28T12:14:04Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
title:untitled,Untitled,System,Stage 0 / Editorial Review,2026-07-30T18:10:03Z,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution
