gate_id,title,stage,prior_classification,new_classification,title_status,title_blocker_removed,remaining_blocker,sendable,waiting_owner
"eeffc5fb-5698-f111-8076-000d3a14673b","Untitled","A1 Editorial Review Acceptance","RECONCILIATION_REQUIRED","ARTIFACT_BLOCKED","WORKING_TITLE","YES","Internal-only Markdown artifact; governed author-facing Editorial Review package not established","NO","SYSTEM/PUBLISHING_RELEASE"
"576b9a51-688e-f111-8077-7c1e525b15c2","The General’s Will and Last Testament","A5 Proofreading Completion","TEST_CERTIFICATION","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","Historical inbound reconciliation with approved-with-corrections evidence; not a current clean unsent request","NO","SYSTEM/PUBLISHING_RELEASE"
"f79d9b13-688e-f111-8077-000d3a14673b","The Long Watch","A5 Proofreading Completion","RECONCILIATION_REQUIRED","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","Technical release exists; operational delivery certification/reconciliation required before any current author state","NO","SYSTEM/PUBLISHING_RELEASE"
"b2fdf644-678e-f111-8077-00224820105b","Establishing Glory: The Library","A5 Proofreading Completion","RECONCILIATION_REQUIRED","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","Technical release exists; operational delivery certification/reconciliation required before any current author state","NO","SYSTEM/PUBLISHING_RELEASE"
"0fddf310-308e-f111-8077-6045bdd69738","The Long Watch","A5 Proofreading Completion","RECONCILIATION_REQUIRED","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","Prior executive-recovery send/awaiting-response state; not a clean unsent request","NO","AUTHOR"
"e996abe7-2f8e-f111-8077-000d3a14673b","Before You Were Born","A5 Proofreading Completion","RECONCILIATION_REQUIRED","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","Prior failed delivery and invalidated response clock require replacement-delivery reconciliation","NO","SYSTEM/PUBLISHING_RELEASE"
"5141f7db-0a8e-f111-8077-00224820105b","The Intentional Leader","A7 Interior Layout Approval","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved interior layout proof","NO","SYSTEM"
"a74b0513-4c8b-f111-ab10-6045bdd69738","GATE-W1 Synthetic Recommendation Manuscript 20260729","A1 Editorial Review Acceptance","TEST_CERTIFICATION","TEST_CERTIFICATION","FINAL_OR_AUTHOR_PROVIDED","NO","Synthetic certification gate","NO","SYSTEM/PUBLISHING_RELEASE"
"8b9bc945-6f89-f111-ab10-000d3a9eacee","JM1 Preview Synthetic Artifact B","A5 Proofreading Completion","TEST_CERTIFICATION","TEST_CERTIFICATION","FINAL_OR_AUTHOR_PROVIDED","NO","Synthetic preview proof gate","NO","AUTHOR"
"8a6f4646-6f89-f111-ab10-000d3a14673b","JM1 Preview Synthetic Artifact A","A5 Proofreading Completion","TEST_CERTIFICATION","TEST_CERTIFICATION","FINAL_OR_AUTHOR_PROVIDED","NO","Synthetic preview proof gate","NO","AUTHOR"
"be079017-0983-f111-ab0f-000d3a14673b","The Intentional Leader","A5 Proofreading Completion","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved proofreading","NO","SYSTEM"
"ca4994e3-ea80-f111-ab0f-7c1e525b15c2","The Intentional Leader","A4 Copyediting Completion","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved copyediting","NO","SYSTEM"
"b4b734a6-bd80-f111-ab0f-00224820105b","The Intentional Leader","A3 Line Editing Completion","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved line editing","NO","SYSTEM"
"b1c48e1d-e57d-f111-ab0f-00224820105b","The Intentional Leader","A2 Developmental Completion","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved developmental package","NO","SYSTEM"
"899ef3cd-fb7b-f111-ab0f-7c1e525b15c2","The Intentional Leader","A2 Developmental Completion","AUTHOR_ALREADY_RESPONDED","ALREADY_SENT_RESPONDED","FINAL_OR_AUTHOR_PROVIDED","NO","Author already approved prior developmental package; artifact later superseded","NO","SYSTEM"
"67396131-da7a-f111-ab0f-00224820105b","The Intentional Leader","A1 Editorial Review Acceptance","AUTHOR_ALREADY_RESPONDED","HISTORICAL","FINAL_OR_AUTHOR_PROVIDED","NO","False inbound classification from outbound resend copy was reversed; no clean current author request","NO","RECONCILIATION"
