Row ID,SKU,Product/Service Name,Category,Source,Current Status,Current Price,Matrix v1.1 Price,Conflict,Proposed Class,Proposed Disposition,Recommendation,Reason,Replacement SKU,Replacement Price,Jackie Ruling,Jackie Notes,Final Disposition
CAT-001,JMP-ACCESS-ALTTEXT,Alt Text & Image Description Service,Accessibility and Translation,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-002,JMP-ACCESS-DYSLEXIA,Dyslexia-Friendly Formatting  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,Coming Soon,"JMP-ACC-EPUB-ENH: $1,000; $650 in-slot premium",PROVISIONAL - evaluate separate SKU vs sub-capability of JMP-ACC-EPUB-ENH. Not public and not activated.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: PROVISIONAL - evaluate separate SKU vs sub-capability of JMP-ACC-EPUB-ENH. Not public and not activated.. Preserve blank ruling until Jackie confirms treatment.,JMP-ACC-EPUB-ENH,"JMP-ACC-EPUB-ENH: $1,000; $650 in-slot premium",,,
CAT-003,JMP-ACCESS-EPUB,Accessible EPUB Formatting (WCAG compliant),Accessibility and Translation,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-004,JMP-ACCESS-MULTI,Multilingual Metadata Optimization,Accessibility and Translation,Worksheet,Active,$149,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-005,JMP-AI-ANALYSIS,AI Manuscript Analysis,AI Services,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-006,JMP-AI-COVER,AI Cover Concept Ideation,AI Services,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-007,JMP-AI-LAUNCH,AI Launch Kit,AI Services,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-008,JMP-AI-MARKETING,AI Marketing Starter Kit,AI Services,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-009,JMP-AI-METADATA,AI Metadata Optimization,AI Services,Worksheet,Active,$199,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-010,JMP-AI-SENSITIVITY,AI Sensitivity Reading,AI Services,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-011,JMP-AI-SERIES,AI Series Bible Creation  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta,Provisional / decision required,Coming Soon,,PROVISIONAL - internal evaluation only. Not public and not activated.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: PROVISIONAL - internal evaluation only. Not public and not activated.. Preserve blank ruling until Jackie confirms treatment.,,,,,
CAT-012,JMP-AI-TRANSLATE,AI-Assisted Translation / Localization,Accessibility and Translation,Worksheet,Active,$0.12 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-013,JMP-AUDIO-AI,AI Audiobook Production,Audio,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$699,JMP-AUD-SYNTH-STD: $500 through 8 PFH; $50/PFH overage,yes - legacy $699 add-on conflicts with Matrix $500/up to 8 PFH policy,B,SUPERSEDED,Retire or merge into replacement authority after Jackie confirms supersession.,Known conflict: yes - legacy $699 add-on conflicts with Matrix $500/up to 8 PFH policy. Current/legacy value should not control if Matrix authority replaces it.,JMP-AUD-SYNTH-STD,JMP-AUD-SYNTH-STD: $500 through 8 PFH; $50/PFH overage,,,
