Capability,Current JM1 dependency,Hard-coded elements,Configuration readiness,Tenant isolation readiness,Deployment portability,Observability,Security,Licensing dependency,Potential market,Current status,Next productization step
Canonical intake form envelope,/join and submission intake,JM1-specific title/package vocabulary,Medium,Medium,Medium,High,Medium,Low,Author-service SaaS intake,REUSABLE_PATTERN,Extract envelope/schema docs and fixture tests before any tenant reuse
Submission first-write pattern,Dataverse contact/lead/title/opportunity creation,JM1 table names and choice values,Medium,Low/Medium,Medium,High,Medium,Dataverse license required,Publishing intake accelerator,ACCELERATOR_CANDIDATE,Parameterize table/choice mappings and add tenant fixture
Business truth/runtime truth doctrine,Dataverse plus code/runtime split,JM1 doctrine names and process IDs,High,Medium,High,Medium,Medium,Low,Regulated operational tooling,REUSABLE_PATTERN,"Publish doctrine as implementation guidance, not product promise"
Pipeline and gate model,Author workspace and production pipeline,JM1 package/gate labels,Medium,Medium,Medium,Medium,Medium,Low,Publisher workflow ops,ACCELERATOR_CANDIDATE,Separate generic state machine from JM1 content labels
Execution logging,jm1_executionlogs and AI audit,JM1 schema/table names,Medium,Medium,Medium,High,Medium,Dataverse required,Audit-ready workflow systems,REUSABLE_PATTERN,Build schema adapter and stable status helper
Evidence repository pattern,"SharePoint workspace, manifests, checksums",JM1 folder taxonomy,Medium,Medium,Medium,Medium,Medium,SharePoint/Purview optional,Governance-heavy teams,REUSABLE_PATTERN,Document external evidence retention and checksum contract
Author Operating Center,"Author dashboard, profile, Stripe surfaces",JM1 author/title/status language,Low/Medium,Low,Medium,Medium,Medium/High,Stripe plus Microsoft optional,Author/publisher portals,INTERNAL_ONLY,Close session-secret and broad-access gates before reuse
Stripe Connect onboarding,Commissioning payment and Connect setup,JM1 fee/payment flows,Low,Low,Medium,Medium,High,Stripe legal/entity dependencies,Marketplace-style onboarding,NOT_READY,"Resolve live/test, legal entity, revocation, and payout policy"
Notification Engine,Author/operator notifications,JM1 templates and cadence policy,Low,Low,Medium,Medium,Medium,Email/SMS provider dependent,Workflow notifications,NOT_READY,"Prove consent, unsubscribe, template governance, and exception display rules"
Publisher Operating Center,Operator actions and title visibility,JM1 roles and gate names,Medium,Low/Medium,Medium,Medium,Medium,Low,Operations command center,ACCELERATOR_CANDIDATE,Finish operator requirement validation and permission matrix
Editorial diagnostic runner,Foundry-backed diagnostics,JM1 prompt/Dataverse schema,Medium,Medium,Medium,High,Medium/High,Foundry/OpenAI licensing,Editorial AI quality tooling,ACCELERATOR_CANDIDATE,Remediate large-input architecture and publish runner-key contract
Agent governance records,Agent 365/Foundry architecture docs,JM1 capability IDs,Medium,Medium,High,Medium,Medium,Microsoft licensing uncertain,Agent workforce governance,REUSABLE_PATTERN,Complete no-write Agent 365 proof and lifecycle register
Exception-driven operations,Commissioning exception and holds,JM1 program names and Jackie approvals,Medium,Medium,High,Medium,Medium,Low,Governed workflow operations,REUSABLE_PATTERN,Add explicit expiration/restoration criteria to exception templates
