Title,Author,Current_CC010_Stage,Waiting_On,Current_Blocker,Next_Governed_Action,Safe_to_Resume,Mutation_Required,queue,provider,portfolio_serialized_behind_atta
'TIL DEATH DO US PART,Jackie Smith Jr,Stage 0 / Editorial Review,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,YES_IF_SOURCE_AND_GATE_CHECKS_PASS,RUNTIME_REPLAY_APPLIED,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
Untitled,Atta Boateng,Stage 0 / Editorial Review,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,YES_IF_SOURCE_AND_GATE_CHECKS_PASS,RUNTIME_REPLAY_APPLIED,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
The Long Watch,Jackie Smith Jr,Developmental Editing,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,NO,RUNTIME_REPLAY_APPLIED,DEVELOPMENTAL_QUEUE,CLAUDE,NO
The General’s Will and Last Testament,Iyorwuese Hagher,Developmental Editing,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,NO,RUNTIME_REPLAY_APPLIED,DEVELOPMENTAL_QUEUE,CLAUDE,NO
Before You Were Born,Sean Crowley,Developmental Editing,External,External dependency for Developmental Editing,External dependency for Developmental Editing,NO,NO - dry-run evidence first,DEVELOPMENTAL_QUEUE,CLAUDE,NO
Establishing Glory: The Library,"Jackie Smith, Jr.",Developmental Editing,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,NO,RUNTIME_REPLAY_APPLIED,DEVELOPMENTAL_QUEUE,CLAUDE,NO
The Intentional Leader,Jackie Smith Jr,Editorial Internal QA,None,Confirm next boundary after Editorial Internal QA,Confirm next boundary after Editorial Internal QA,NO,NO - dry-run evidence first,STRANDED_OR_RECONCILIATION_QUEUE,NO_PROVIDER,NO
Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ,Quanisha Dockery,Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,NO,NO - dry-run evidence first,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-0W5PTQ,Jackie Smith Jr,Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,NO,NO - dry-run evidence first,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-422JSZ,Atta Boateng,Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,NO,NO - dry-run evidence first,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
INT-PUB-005 Stage 0 Handoff — JMP-INT-202606-UFYG6O,Jackie Smith Jr,Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,NO,NO - dry-run evidence first,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
unknown,,Unknown,Author,Await Unknown author response/full approval,Await Unknown author response/full approval,NO,NO - dry-run evidence first,STRANDED_OR_RECONCILIATION_QUEUE,NO_PROVIDER,NO
Compilation-Reconciliation,,Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,NO,NO - dry-run evidence first,EDITORIAL_REVIEW_QUEUE,CLAUDE,NO
02_Cover-Design,,Production / Downstream,None,Confirm next boundary after Production / Downstream,Confirm next boundary after Production / Downstream,NO,NO - dry-run evidence first,PRODUCTION_HANDOFF_QUEUE,NO_PROVIDER,NO
02_Interior-Layout,,Production / Downstream,None,Confirm next boundary after Production / Downstream,Confirm next boundary after Production / Downstream,NO,NO - dry-run evidence first,PRODUCTION_HANDOFF_QUEUE,NO_PROVIDER,NO
