Choice Set,Internal Code,Display Label,Definition,Permitted Use,Prohibited Use,Author-Facing Visibility,Status
"PF State","REQUESTED","REQUESTED","Edition product-form lifecycle state REQUESTED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","CONTRACTED","CONTRACTED","Edition product-form lifecycle state CONTRACTED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","READY_FOR_PRODUCTION","READY FOR PRODUCTION","Edition product-form lifecycle state READY_FOR_PRODUCTION.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","IN_PRODUCTION","IN PRODUCTION","Edition product-form lifecycle state IN_PRODUCTION.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","INTERNAL_QA","INTERNAL QA","Edition product-form lifecycle state INTERNAL_QA.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","AUTHOR_REVIEW","AUTHOR REVIEW","Edition product-form lifecycle state AUTHOR_REVIEW.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","APPROVED","APPROVED","Edition product-form lifecycle state APPROVED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","DISTRIBUTION_READY","DISTRIBUTION READY","Edition product-form lifecycle state DISTRIBUTION_READY.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","SUBMITTED","SUBMITTED","Edition product-form lifecycle state SUBMITTED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","LIVE","LIVE","Edition product-form lifecycle state LIVE.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","ON_HOLD","ON HOLD","Edition product-form lifecycle state ON_HOLD.","Use only on edition/PF instances after authorized transition contract permits it.","Do not infer automatically for client titles while automation is frozen.","PROJECTED_ONLY","ACTIVE"
"PF State","CANCELLED","CANCELLED","Edition product-form lifecycle state CANCELLED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not reopen terminal instances without new authority.","PROJECTED_ONLY","ACTIVE"
"PF State","RETIRED","RETIRED","Edition product-form lifecycle state RETIRED.","Use only on edition/PF instances after authorized transition contract permits it.","Do not reopen terminal instances without new authority.","PROJECTED_ONLY","ACTIVE"
