id,lane,capability,confidence,lastVerified,evidenceSource,confidenceBasis
"ANNEXS-ENT-001","Entitlements","M365 SKU and service plan inventory","HIGH","2026-07-29T16:51:02.414Z","Graph subscribedSkus","Direct readback or local observation"
"ANNEXS-ENT-002","Entitlements","Intune availability","LOW","2026-07-30T00:57:24.975Z","Graph subscribedSkus v1; Graph deviceManagement managedDevices v1.1 read attempt","Entitlement/status evidence with unverified activation or blocked controls"
"ANNEXS-ENT-003","Entitlements","Purview availability","LOW","2026-07-30T00:57:24.975Z","Graph subscribedSkus v1; Graph Purview sensitivity/retention label read attempts v1.1","Entitlement/status evidence with unverified activation or blocked controls"
"ANNEXS-ID-001","Identity","Conditional Access policies","HIGH","2026-07-30T00:57:24.975Z","Graph conditionalAccess v1; Graph conditionalAccess v1.1","Direct readback or local observation"
"ANNEXS-ID-002","Identity","Standing privileged role membership","MEDIUM","2026-07-30T00:57:24.975Z","Graph directoryRoles v1; Graph roleAssignments v1.1; Graph PIM roleEligibility read attempt v1.1","Partial direct evidence with bounded limitation"
"ANNEXS-ID-003","Identity","Guest and external access posture","MEDIUM","2026-07-29T16:51:02.414Z","Graph users","Partial direct evidence with bounded limitation"
"ANNEXS-M365-001","M365 security/compliance","Secure Score snapshot","LOW","2026-07-30T00:57:24.975Z","Graph secureScores v1 read attempt; Graph secureScores v1.1 read attempt","Entitlement/status evidence with unverified activation or blocked controls"
"ANNEXS-ENDPOINT-001","Endpoints","Intune managed device inventory","UNKNOWN","2026-07-30T00:57:24.975Z","Graph deviceManagement managedDevices v1.1 read attempt; endpoint-readonly-validation.json","Readback unavailable or not generalizable"
"ANNEXS-AZ-001","Azure","Azure subscription/resource inventory","HIGH","2026-07-30T00:57:24.975Z","Azure resource inventory v1; azure-security-and-monitoring-readbacks.json v1.1","Direct readback or local observation"
"ANNEXS-AZ-002","Azure","Defender for Cloud plan states","HIGH","2026-07-30T00:57:24.975Z","Azure Defender for Cloud pricing v1; Azure Defender for Cloud pricing v1.1","Direct readback or local observation"
"ANNEXS-AZ-003","Azure","Key Vault presence and identity pattern","HIGH","2026-07-30T00:57:24.975Z","Azure Key Vault metadata v1; azure-security-and-monitoring-readbacks.json v1.1","Direct readback or local observation"
"ANNEXS-MON-001","Monitoring/IR","Azure Monitor and Log Analytics coverage","HIGH","2026-07-30T00:57:24.975Z","Azure monitoring inventory v1; azure-security-and-monitoring-readbacks.json v1.1","Direct readback or local observation"
"ANNEXS-DEV-001","Development security","GitHub repository control inventory","LOW","2026-07-30T00:57:24.975Z","GitHub CLI repository metadata v1; github-security-controls.json v1.1","Entitlement/status evidence with unverified activation or blocked controls"
"ANNEXS-ENDPOINT-002","Endpoints","JM1-PRIME local OS/encryption/admin posture","HIGH","2026-07-30T00:57:24.975Z","JM1-PRIME local OS/encryption/admin posture v1; endpoint-readonly-validation.json v1.1","Direct readback or local observation"
"ANNEXS-DEV-002","Development security","Local secrets sweep on JM1-PRIME","MEDIUM","2026-07-29T16:51:02.414Z","Metadata-only local filename/type scan","Partial direct evidence with bounded limitation"
"ANNEXS-AI-001","AI/model security","External model dependency inventory","MEDIUM","2026-07-29T16:51:02.414Z","Local package.json dependency scan","Partial direct evidence with bounded limitation"
"ANNEXS-REC-001","Recovery","Backup/recovery documentation coverage","MEDIUM","2026-07-29T16:51:02.414Z","Local documentation inventory","Partial direct evidence with bounded limitation"
"ANNEXS-PP-001","Power Platform","Power Platform environment/resource inventory","MEDIUM","2026-07-30T00:57:24.975Z","PAC admin list v1.1; Dataverse organization/workflows/entity metadata v1.1; Power Platform admin DLP read attempt v1.1","Partial direct evidence with bounded limitation"
