canonical_key,title,author,real_test,current_cc010_stage,current_status,latest_completed_boundary,earliest_unresolved_boundary,waiting_on,blocker,next_action,automation_status,mutation_required
title:til death do us part,'TIL DEATH DO US PART,Jackie Smith Jr,REAL_ACTIVE,Stage 0 / Editorial Review,In Progress,None proven,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:gate w1 app service staging long docx join 1785342346355,GATE-W1 App Service Staging Long DOCX Join 1785342346355,Gate W1 Long Docx Synthetic,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:gate w1 app service staging docx join 1785342161378,GATE-W1 App Service Staging DOCX Join 1785342161378,Gate W1 Docx Synthetic,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:gate w1 app service staging multipart join 1785341972350,GATE-W1 App Service Staging Multipart Join 1785341972350,Gate W1 Multipart Synthetic,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:gate w1 app service staging positive join 1785341427544,GATE-W1 App Service Staging Positive Join 1785341427544,Gate W1 Join Synthetic,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:gate w1 synthetic recommendation manuscript 20260729,GATE-W1 Synthetic Recommendation Manuscript 20260729,Gate W1 Synthetic,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,Await Stage 0 / Editorial Review author response/full approval,Author,Await Stage 0 / Editorial Review author response/full approval,Await Stage 0 / Editorial Review author response/full approval,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:gate w1 synthetic certification manuscript 20260729,GATE-W1 Synthetic Certification Manuscript 20260729,Gate W1 Synthetic,CERTIFICATION,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:jm1 synthetic intake final proof 20260727170349,JM1 Synthetic Intake Final Proof 20260727170349,JM1 SyntheticFinal20260727170349,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:jm1 synthetic intake final proof 20260727172010,JM1 Synthetic Intake Final Proof 20260727172010,JM1 SyntheticFinal20260727172010,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:jm1 synthetic intake restored proof 20260727173332,JM1 Synthetic Intake Restored Proof 20260727173332,JM1 SyntheticRestored20260727173332,SYNTHETIC,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:jm1 duplicate proof 20260727173641,JM1 Duplicate Proof 20260727173641,JM1 Duplicate20260727173641,DUPLICATE,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - blocker evidence only
title:untitled,Untitled,Atta Boateng,REAL_ACTIVE,Stage 0 / Editorial Review,In Progress,Editorial Review Complete,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,System-owned Stage 0 / Editorial Review continuation or exact blocker resolution,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:you re still not crazy,You're Still Not Crazy,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:your brain has too much what mommy,"Your brain has too much what, mommy??",Essence Easley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:your peace is a priority,Your Peace Is a Priority,Kiena Hughley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:words of a troubled soul,Words of A Troubled Soul,David Williams,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:why faith works for some and not for others,Why Faith Works For Some And Not For Others,Rodney Waller,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:when zuri came to earth,When Zuri Came to Earth,Gwendolyn Rucker-Carr,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:warriors and angels,Warriors and Angels,Shelley McIntosh,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:what goes up must come down let s face it,What Goes up Must Come down Let's Face It,Carol Roye,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:when a thug meets jesus,When a Thug Meets Jesus,Mack Hughley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:warrior s breed,Warrior's Breed,Dean Wilson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:uncomfortable conversations with god,Uncomfortable Conversations with God,Leslie Banks,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:war mother,War Mother,Winter Dockery,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:understanding the misunderstood,Understanding the Misunderstood,Tia Benincase,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the sun the shadow and the silence,"The Sun, the Shadow, and the Silence",Devin Gilchrest,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the release of the spirit,The Release of the Spirit,Lyle Goddard,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the shift,The Shift,Sean Crowley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the princess and the black eyed pea,The Princess and the Black-eyed Pea,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the messenger 2,The Messenger 2,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
