Microsoft capability,License / availability posture,Current JM1 use,Maturity,Current substitute,Gap,Reuse opportunity,Next controlled proof,Cost / license risk,Recommendation
Dynamics 365 Sales,Unverified in this pass; Dataverse-backed sales objects are in use,Opportunity/package/payment/agreement status are evidenced in PROGRAM-002,Level 2 internal operational use,Custom Dataverse/business logic,License posture and governed Sales app usage not proven,Reuse opportunity for author acquisition and deal pipeline if licensed,License assignment readback plus one governed opportunity lifecycle proof,Medium,USE_MORE_AFTER_LICENSE_PROOF
Dynamics 365 Customer Service,Unverified,No direct Customer Service case workload proven,Level 0 candidate,Custom support/intake workflows,"No case schema, routing, or SLA evidence",Possible author support queue and exception handling layer,Confirm entitlement and map one author exception case flow,Medium,ASSESS_LATER
Dynamics 365 Customer Insights / Journeys,Unverified,No governed marketing automation activation proven,Level 0 candidate,Manual notifications and custom communications,"Consent, segmentation, unsubscribe, and journey governance not proven",Potential author nurture and launch communications after consent model,Consent model and test-only journey proof,High,HOLD
Power Apps,Unverified but Dataverse-compatible,No maintained model/canvas app package proven in current evidence,Level 1 candidate,Custom Next.js operating centers,"Possible low-code admin surfaces, but source of truth must remain governed",Internal operator tools could be accelerated after ALM decision,Inventory current apps/solutions and compare with Next.js operator needs,Medium,ASSESS_LATER
Dataverse,Available and operationally proven,"Canonical business records, prompts, execution logs, author/title/opportunity/contracts",Level 2 operational core,None; this is current business truth substrate,Choice metadata and schema-validation errors require disciplined query/write helpers,Continue as business truth and audit substrate,Close jm1_executionstatus numeric choice lookup pattern as reusable helper,Low,USE_MORE_NOW
Business Central,Unverified; explicitly held,No production posting authorized,Level 0/held,Dataverse and evidence reports,BC posting boundary remains governance hold,Future royalty/accounting posting when payout policy closes,"Sandbox-only posting design, never production without Jackie approval",High,HOLD
Microsoft Foundry / Azure AI,Partially proven,"PROGRAM-003A proves governed Azure/Foundry runtime path, telemetry, and Dataverse writeback",Level 1/2 controlled proof,Azure OpenAI/manual diagnostics for some lanes,Hierarchical manuscript handling and source-control reconciliation remain,Reusable governed AI execution pattern,Rerun controlled shadow eval with remediated input architecture,Medium,USE_MORE_WITH_GATES
Microsoft Agent 365,Unverified/not operationalized,"Architecture registry/blueprint evidence, not live workforce deployment",Level 0/1 architecture candidate,Custom diagnostic runner and governed scripts,"Agent census, permission model, lifecycle, rollback not proven",Possible governed operator assistant/workforce layer,Create no-write Agent 365 blueprint proof with tenant and permission readback,Medium/High,ASSESS_LATER
Microsoft Entra,Available indirectly through app identity evidence,PROGRAM-003A records permanent app user/app identity for governed writeback,Level 1 operational dependency,Manual credential/env governance,Full least-privilege entitlement review not closed,Reusable identity plane for Dataverse/Foundry automation,Access review and app role documentation,Medium,USE_MORE_WITH_GATES
SharePoint / Purview / Defender / Azure Monitor,SharePoint and Azure Monitor evidence proven; Purview/Defender unverified,SharePoint workspace and Azure telemetry evidenced,"Level 2 for SharePoint, Level 1 for monitoring",Custom evidence folders and execution logs,Retention/DLP/security-center posture not proven,Evidence retention and workspace lifecycle can be hardened,Checksum-backed evidence index plus retention/DLP owner review,Medium,USE_MORE_WITH_GATES
GitHub / Azure DevOps / Deployment Pipelines,GitHub operational; Azure DevOps unverified,"PR ranges, deployments, branch reconstruction, validation gates evidenced",Level 2 source governance,GitHub Actions/Vercel-style deployment evidence,Azure DevOps migration not justified,Keep GitHub authority unless separate ALM migration is approved,Document branch reconciliation and PR evidence path,Low,USE_CURRENT_GITHUB
