ruling_class,legacy_sku,legacy_name,legacy_price,sku_family,matrix_v11_equivalent,proposed_disposition,jackie_ruling,conflict_detail,notes
Class A,JMP-ACCESS-ALTTEXT,Alt Text & Image Description,$95,ACCESS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AI-ANALYSIS,AI Manuscript Analysis,$195,AI,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUDIO-RS,Royalty Share Production (ACX),$395 (coord),AUDIO,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-BRAND,Author Branding Package,$495,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTHCOPY-HC,| Priced at IngramSpark cost. Ordered through IS or LSI.,Cost + ship,AUTHCOPY,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-BOOK-AUDIO,Audiobook (retail) — CoreSource primary,Per title,BOOK,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-CAT-ANALYTICS,Sales Analytics Report,$150,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CHILD-ILLUS,Children's Book Illustration,$150–$350/illus,CHILD,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-COVER,Professional Cover Design,$495,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DIST-ANNUAL,Annual Distribution & Maintenance,$49/title,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
