artifact,classification,status,disposition,rationale
"JMP_PublishingV2_Phase6_Portable_1_2_0_1_managed.zip","REQUIRED_ROLLBACK","PRESERVED","KEEP","Immutable production and recertification package"
"powerplatform/solutions/JMPPublishingV2Phase6/src","REQUIRED_PRODUCTION","CANONICAL","KEEP","Managed-solution source authority"
"powerplatform/solutions/JMPPublishingV2Phase6/evidence","REQUIRED_EVIDENCE","HISTORICAL","KEEP","Certification and migration history"
"JM1-Test Phase 6 solution and identity","NONPRODUCTION_TEST","ACTIVE","KEEP","Future regression certification"
"Production certification route/settings","REQUIRED_PRODUCTION","ACTIVE","KEEP","Bounded no-effect diagnostics and readback"
"id-jm1-publishing-phase6-prod","REQUIRED_PRODUCTION","ACTIVE","KEEP","Dedicated least-privilege caller"
"JMP Phase 6 Onboarding Runtime role","REQUIRED_PRODUCTION","ACTIVE","KEEP","Required 45-privilege role"
"codex/jmp-phase6-port-001-current","STALE_CANDIDATE","MERGED_ANCESTOR","REGISTER_ONLY","Zero unique commits; nine commits behind main"
"codex/jmp-phase6-prod-001-preimport-blocker","STALE_CANDIDATE","MERGED_ANCESTOR","REGISTER_ONLY","Zero unique commits; five commits behind main"
"codex/jmp-phase6-prod-runtime","STALE_CANDIDATE","MERGED_ANCESTOR","REGISTER_ONLY","Zero unique commits; seven commits behind main"
"codex/jmp-phase6-schema-dependency","STALE_CANDIDATE","MERGED_ANCESTOR","REGISTER_ONLY","Zero unique commits; one commit behind main"
"codex/phase6-onboarding-portability","UNKNOWN","DIVERGED","DO_NOT_DELETE","1441 unique commits and 24 commits behind main require separate review"
"jmerrill-pub-phase6-portability worktree","STALE_CANDIDATE","CLEAN","REGISTER_ONLY","Historical clean worktree; branch divergence prevents automatic retirement"
"Whole onboarding/parity worktrees","REQUIRED_EVIDENCE","CLEAN_REMOTE_GONE","DO_NOT_DELETE","Historical continuity evidence; retire only through separate workspace governance"
