decisionType,author,title,manifestRowNumber,amountAffected,recommendedAction,consequence,alternatives
JACKIE IDENTITY DECISION,Alesia Corpening,"A Truebies Guide, Part 2",1,6.18,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Brandyn McElroy,Support Beyond the Cycle,2,4.39,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Carolyn Pierce,Because the Lord is My Shepherd: Psalm 23 and Me,3,18.02,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Carolyn Pierce,Abortion!: George and Giovanna,4,18.02,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Carolyn Pierce,More Than A Village: Raising Black Men in America,5,18.02,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Carolyn Pierce,You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist,6,18.02,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Carolyn Pierce,Youíre Still Not Crazy,7,18.02,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Cheryl Cook,The Fight for the Promiseland: Battle Strategies for Victorious People,8,8.50,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Cynthia Sloan,Speech Therapy Works!: Juliana's Story,11,1.51,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Cynthia Sloan,Speech Therapy Works!,12,1.51,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Cynthia Sloan,Speech Therapy Works!: Juliana's Story,13,1.67,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Cynthia Sloan,Speech Therapy Works!,14,1.67,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Daphanny Baker,The Messenger 2,15,18.86,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Daphanny Baker,365 Days of Transparency,16,18.86,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Daphanny Baker,The Messenger 2,17,10.32,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Daphanny Baker,365 Days of Transparency,18,10.32,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Darlene Carson,SHE: An Expose' of Her Insufficiencies,19,6.18,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Dennis Brown,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,20,3.04,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Edith Clay,Inspirations from God: God is Gooood!,22,1.73,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Edith Clay,Inspirations from God: God is Gooood!,23,1.73,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Ericka Thornton,Are You Sure That You Are Ready?: A Guide for Vendors,24,8.58,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Eryonna Barrino,A Little Bit of Everything,25,3.11,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Essence Easley,"Your Brain Has Too Much What, Mommy??",26,9.62,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Gloria Patterson,Conquer Your Fears and Win,27,2.39,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,J Derrick Johnson,100 Wisdom Lessons for Life and Living,30,524.83,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,J Derrick Johnson,100 Wisdom Lessons for Life and Living,31,86.90,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jackie Smith,Establishing Glory 2: The Relationship Handbook (2nd Edition),32,3.80,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jackie Smith,Establishing Glory 3: The Marriage Handbook,33,3.80,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Jackie Smith,Establishing Glory: The Praise and Worship Handbook (2nd Edition),34,3.80,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jackie Smith,Establishing Glory 2: The Relationship Handbook (2nd Edition),35,7.50,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jackie Smith,Establishing Glory 3: The Marriage Handbook,36,7.50,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Jackie Smith,Establishing Glory: The Praise and Worship Handbook (2nd Edition),37,7.50,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Janet Stephens,Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time,38,3.68,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Jaylonna Stevette,Almost Happy,39,3.13,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jaylonna Stevette,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),40,3.13,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Jaylonna Stevette,Almost Happy,41,1.65,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jaylonna Stevette,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),42,1.65,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Karen Hill,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,43,8.43,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Karen Hill,The Great Hair Restart: The Journal,44,8.43,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Karen Hill,The Great Hair Restart,45,8.43,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Karen Hill,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,46,4.77,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Karen Hill,The Great Hair Restart: The Journal,47,4.77,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Karen Hill,The Great Hair Restart,48,4.77,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Kiena Hughley,Your Peace is a Priority,49,1.90,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Kurt Broadnax,Love Is An Action Word,50,2.21,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Kurt Broadnax,Love Is An Action Word,51,2.21,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
