"CanonicalTitle","AuthorPublicName","CurrentAuthorGate","AuthorReviewState","LatestAuthorApprovedArtifact","NextGovernedAction"
"Establishing Glory: The Library","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Continue governed editorial stage and mandatory author approval."
"The General’s Will and Last Testament","Iyorwuese Hagher","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Continue governed editorial stage and mandatory author approval."
"The Long Watch","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Continue governed editorial stage and mandatory author approval."
"The Intentional Leader","Jackie Smith, jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","APPROVED_ARTIFACT_EVIDENCE_PRESENT","The_Intentional_Leader_-_Corrected_Interior_Layout_Proof.pdf; status Approved; checksum present","Continue governed editorial stage and mandatory author approval."
"Before You Were Born","Sean Crowley","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Prepare certified prospect recommendation."
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Prepare certified prospect recommendation."
"'TIL DEATH DO US PART","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Continue governed editorial stage and mandatory author approval."
"Untitled","Atta Boateng","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","AUTHOR_APPROVAL_NOT_YET_CURRENT_GATE","","Await prospect package selection or questions."
"The Long Watch - Intake Success Validation","Jackie Smith Jr","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Prepare certified prospect recommendation."
"You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
