Row ID,Legacy SKU,Original Product/Service Name,Original Category,Original Source,Current Status,Current Price,Original Matrix v1.1 Price,Conflict,Original Proposed Class,Original Proposed Disposition,Final Jackie Ruling,Final Commercial Status,Canonical SKU,Canonical Product Name,Internal Name / Note,PF Mapping,Release Model Mapping,Production Mode Mapping,Matrix v1.1 Price,Slot Eligibility,Premium Upcharge,Public Visibility,Quoting Status,Contract Status,Superseded By,Effective Date,Jackie Notes,Migration Action,Downstream Remediation,Ruling Source Sheet,Workbook Source SHA-256
CAT-002,JMP-ACCESS-DYSLEXIA,Dyslexia-Friendly Formatting  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,Coming Soon,"JMP-ACC-EPUB-ENH: $1,000; $650 in-slot premium",PROVISIONAL - evaluate separate SKU vs sub-capability of JMP-ACC-EPUB-ENH. Not public and not activated.,D,PROVISIONAL,MERGE,SUPERSEDED,JMP-ACC-EPUB-ENH,Complex-Content Accessibility Edition,,PF-06,N/A,Standard catalog production,"$1,000 add-on; $650 in-slot premium",No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-ACC-EPUB-ENH,2026-08-05,Fold into PF-06 / JMP-ACC-EPUB-ENH as a scoped accessibility capability. Do not retain a separate sellable SKU.,Supersede legacy SKU; remap references to JMP-ACC-EPUB-ENH; do not preserve legacy price as active authority.,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",Class D - Provisional,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-013,JMP-AUDIO-AI,AI Audiobook Production,Audio,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$699,JMP-AUD-SYNTH-STD: $500 through 8 PFH; $50/PFH overage,yes - legacy $699 add-on conflicts with Matrix $500/up to 8 PFH policy,B,SUPERSEDED,MERGE,SUPERSEDED,JMP-AUD-SYNTH-STD,"Synthetic Audiobook Narration, standard through eight finished hours",,PF-04,N/A,Standard catalog production,$500 through eight finished hours; $50/PFH overage,No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-AUD-SYNTH-STD,2026-08-05,Merge into JMP-AUD-SYNTH-STD. Retire the legacy $699 price. Govern synthetic narration under PF-04 at $500 through eight finished hours and $50/PFH thereafter.,Supersede legacy SKU; remap references to JMP-AUD-SYNTH-STD; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-015,JMP-AUDIO-PRO,Professional Narrated Audiobook,Audio,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,"$3,000–$5,000",JMP-AUD-HUMAN-SV: From $400/PFH,yes - legacy flat/range price conflicts with per-finished-hour Matrix model,B,SUPERSEDED,MERGE,SUPERSEDED,JMP-AUD-HUMAN-SV,Human Single-Voice Narration,,PF-04,N/A,Standard catalog production,From $400/PFH,No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-AUD-HUMAN-SV,2026-08-05,"Merge into JMP-AUD-HUMAN-SV. Retire flat $3,000–$5,000 pricing and use the approved human single-voice rate beginning at $400/PFH.",Supersede legacy SKU; remap references to JMP-AUD-HUMAN-SV; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-049,JMP-DES-EBOOK,eBook Conversion,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-EB-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,MERGE,SUPERSEDED,JMP-EDT-EB-STD,"Standard Ebook, born-accessible",,PF-03,N/A,Standard catalog production,$350,No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-EDT-EB-STD,2026-08-05,Merge into PF-03 / JMP-EDT-EB-STD. Retire the legacy design SKU and $195 price. Standard Digital production is $350 and includes born-accessible EPUB production.,Supersede legacy SKU; remap references to JMP-EDT-EB-STD; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-050,JMP-DES-HARDCOVER,Hardcover Formatting,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-HC-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,MERGE,SUPERSEDED,JMP-EDT-HC-STD,Hardcover,,PF-02,N/A,Standard catalog production,$350,No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-EDT-HC-STD,2026-08-05,Merge into PF-02 / JMP-EDT-HC-STD. Retire the legacy formatting SKU and use the $350 edition add-on.,Supersede legacy SKU; remap references to JMP-EDT-HC-STD; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-052,JMP-DES-INTERACTIVE,Interactive eBook Production  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,Coming Soon,"JMP-INT-EPUB3-STD: Starting at $1,500 after scope cap",PROVISIONAL - evaluate separate SKU vs subordinate capability of JMP-INT-EPUB3-STD. Not public and not activated.,D,PROVISIONAL,MERGE,SUPERSEDED,JMP-INT-EPUB3-STD,Interactive EPUB3 Edition,,PF-08,N/A,SOW-gated interactive production,"Starting at $1,500 after scope cap",No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-INT-EPUB3-STD,2026-08-05,Merge into PF-08 / JMP-INT-EPUB3-STD. PF-08 is active and scoping-gated; remove “Coming Soon.”,Supersede legacy SKU; remap references to JMP-INT-EPUB3-STD; do not preserve legacy price as active authority.,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",Class D - Provisional,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-053,JMP-DES-LARGEPRINT,Large Print Formatting,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-LP-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,MERGE,SUPERSEDED,JMP-EDT-LP-STD,"Large Print, standard layout",,PF-05,N/A,Standard catalog production,$350,No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-EDT-LP-STD,2026-08-05,Merge into PF-05 / JMP-EDT-LP-STD. Retire the legacy $195 price. LP-STD is $350; LP-CPLX remains a complexity attribute with its approved premium.,Supersede legacy SKU; remap references to JMP-EDT-LP-STD; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-099,JMP-MKT-SERIAL,Serialization Strategy,Marketing and Launch,Worksheet; Matrix v1.1,Active conflict / amend before migration,$195,"JMP-SER-DIGITAL-06: $600; JMP-SER-DIGITAL-12: $1,000",yes - legacy marketing serial service scope conflicts or overlaps with Matrix serialized release programs,C,MIGRATE-AMENDED,MERGE,SUPERSEDED,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,Serialized Digital Release - 6 or 12 installments,,N/A,Serialized digital release,N/A,"$600 / 6 installments; $1,000 / 12 installments",No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,2026-08-05,Merge into JMP-SER-DIGITAL-06 and JMP-SER-DIGITAL-12. Retire the legacy marketing SKU and $195 price. Serialization is governed as a release model.,Supersede legacy SKU; remap references to JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12; do not preserve legacy price as active authority.,"Website catalog, contract schedules, proposal templates, quote worksheets, future Business Central item setup, and author-facing package materials if legacy values remain visible.",Pricing Conflict Register,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-111,JMP-PROG-PARTNER-BASE,Publishing Partner Program,Strategic Publishing Programs,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,"$9,000",JMP-PARTNER-PARTNER,"possible overlap with legacy Publishing Partner annual program; confirm naming, terms, and commercial posture.",D,PROVISIONAL,MERGE,SUPERSEDED,JMP-PARTNER-PARTNER,Publishing Partner Program,,N/A,N/A,N/A,"$9,000/year; confirm terms before public change",No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-PARTNER-PARTNER,2026-08-05,"Merge into canonical JMP-PARTNER-PARTNER. Confirm $9,000 authority, term, renewal, included services, and exclusions.",Supersede legacy SKU; remap references to JMP-PARTNER-PARTNER; do not preserve legacy price as active authority.,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",Class D - Provisional,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
CAT-112,JMP-PROG-PARTNER-PREMIER,Premier Publishing Partner Program,Strategic Publishing Programs,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,"$15,000","JMP-PKG-PREMIER: $7,500; JMP-PARTNER-SIGNATURE; JM Signature Partner","JACKIE DECISION REQUIRED - naming collision among Premier Package, Partner Premier, and JM Signature Partner.",D,PROVISIONAL,MERGE,SUPERSEDED,JMP-PARTNER-SIGNATURE,JM Signature Partner,,N/A,N/A,N/A,"$15,000/year; public name JM Signature Partner",No,N/A,NON-PUBLIC,NOT QUOTABLE,NOT CONTRACTABLE,JMP-PARTNER-SIGNATURE,2026-08-05,Merge into JMP-PARTNER-SIGNATURE; use JM Signature Partner publicly. Retire “Premier Publishing Partner” to avoid collision with the Premier package.,Supersede legacy SKU; remap references to JMP-PARTNER-SIGNATURE; do not preserve legacy price as active authority.,"Remap legacy SKU references in catalog, proposal templates, quote worksheets, contract schedules, future Business Central item setup, and author-facing package materials.",Class D - Provisional,710a9e6ca1f1322065e77d2865f30948c147b8b71fe5153408cbd708daaba9d3
