SOURCE_RECORD_ID,TITLE_ID,CANONICAL_TITLE_ID,TITLE_NAME,AUTHOR_NAME,CANONICAL_AUTHORITY,CURRENT_OPERATIONAL_AUTHORITY,LAST_PROVEN_GOVERNED_STAGE,PROJECTED_STAGE,PROJECTED_SUBSTAGE,COMMERCIAL_GATE_STATUS,EDITORIAL_GATE_STATUS,BLOCKING_TRANSITION,NEXT_GOVERNED_ACTION,WAITING_ON,WAITING_REASON,WAITING_STARTED_AT,TIMER_VALUE,CURRENT_ARTIFACT,ARTIFACT_AUTHORITY,RECONCILIATION_STATUS,STAGE_TRUST,WAITING_ON_TRUST,TIMER_TRUST,ARTIFACT_TRUST,NEXT_GOVERNED_ACTION_TRUST,FINAL_TRUST_CLASSIFICATION
W1-001,5aee90b0-9730-f111-88b4-6045bdd69738,5aee90b0-9730-f111-88b4-6045bdd69738,(Untitled),Author pending,PLACEHOLDER,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-002,9eb5559c-9630-f111-88b4-7c1e525b15c2,9eb5559c-9630-f111-88b4-7c1e525b15c2,(Untitled),Author pending,PLACEHOLDER,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-003,dcf603d3-c27a-f111-ab0f-000d3a14673b,dcf603d3-c27a-f111-ab0f-000d3a14673b,101 Wisdom Lessons for Life and Living,j. Derrick Johnson,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-004,6e27c7bc-c37a-f111-ab0f-000d3a14673b,6e27c7bc-c37a-f111-ab0f-000d3a14673b,27 Days to Overcoming Depression: Debunking All the Lies,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-005,6f27c7bc-c37a-f111-ab0f-000d3a14673b,6f27c7bc-c37a-f111-ab0f-000d3a14673b,A Principal's Tale: A Self-Determined Leader,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-006,3f09d7cb-c27a-f111-ab0f-6045bdd69678,3f09d7cb-c27a-f111-ab0f-6045bdd69678,A Trubie's Guide Pt. 1,Alesia Corpening,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-007,848904ca-c27a-f111-ab0f-6045bdd69738,848904ca-c27a-f111-ab0f-6045bdd69738,A Trubie's Guide Pt. 2,Alesia Corpening,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-008,7742c1c2-c37a-f111-ab0f-000d3a14673b,7742c1c2-c37a-f111-ab0f-000d3a14673b,Abortion!: George and Giovanna,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-009,2d946ac0-c37a-f111-ab0f-00224820105b,2d946ac0-c37a-f111-ab0f-00224820105b,Aligned!: Unlocking the DNA of Authentic Faith,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-010,dcbc7ebd-c37a-f111-ab0f-6045bdd69678,dcbc7ebd-c37a-f111-ab0f-6045bdd69678,Are You Sure That You Are Ready?: A Guide for Vendors,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-011,7942c1c2-c37a-f111-ab0f-000d3a14673b,7942c1c2-c37a-f111-ab0f-000d3a14673b,Because the Lord is My Shepherd: Psalm 23 and Me,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-012,8642c1c2-c37a-f111-ab0f-000d3a14673b,8642c1c2-c37a-f111-ab0f-000d3a14673b,Bodacious: Controversial and Provocative,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-013,7867a4c3-c37a-f111-ab0f-6045bdd69678,7867a4c3-c37a-f111-ab0f-6045bdd69678,Come Out Of Hiding: Activating Deliverance,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-014,8742c1c2-c37a-f111-ab0f-000d3a14673b,8742c1c2-c37a-f111-ab0f-000d3a14673b,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
W1-015,7a67a4c3-c37a-f111-ab0f-6045bdd69678,7a67a4c3-c37a-f111-ab0f-6045bdd69678,Delicious Ideas!: The Legacy Cookbook,Author pending,LEGACY_TITLE_RECORD,FALSE,DATA_GAP,DATA_GAP,DATA_GAP,NOT_APPLICABLE,NOT_APPLICABLE,NONCURRENT_RECORD_SUPPRESSION,No current governed action is outstanding,NOT_WAITING,NO_CURRENT_GOVERNED_ACTION,,NONE,DATA_GAP,NO_CURRENT_ARTIFACT_REQUIRED,CERTIFIED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TRUSTED,NONCANONICAL_SUPPRESSED
