"Priority","CanonicalTitle","AuthorPublicName","BoundedHumanQuestion","SourceRecoveryState","CurrentBusinessStage","CurrentEditorialStage"
"P4","You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist","","Which current lifecycle/stage should govern ""You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Warriors and Angels: Liberating Inner Power in the Journey of Life","","Which current lifecycle/stage should govern ""Warriors and Angels: Liberating Inner Power in the Journey of Life"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Your Peace is a Priority: A Devotional Journal","","Which current lifecycle/stage should govern ""Your Peace is a Priority: A Devotional Journal"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Journey: The Inspiration and Message Behind the Music","","Which current lifecycle/stage should govern ""The Journey: The Inspiration and Message Behind the Music"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","todays's new title","","Which current lifecycle/stage should govern ""todays's new title"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Great Hair Restart: The Journal","","Which current lifecycle/stage should govern ""The Great Hair Restart: The Journal"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","Which current lifecycle/stage should govern ""The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","Which current lifecycle/stage should govern ""The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Taylor Made: My Life, My Story","","Which current lifecycle/stage should govern ""Taylor Made: My Life, My Story"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","More Than A Village: Raising Black Men in America","","Which current lifecycle/stage should govern ""More Than A Village: Raising Black Men in America"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Speech Therapy Works!: Juliana's Story","","Which current lifecycle/stage should govern ""Speech Therapy Works!: Juliana's Story"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","My ABCs","","Which current lifecycle/stage should govern ""My ABCs"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","SHE: An Expose' of Her Insufficiencies","","Which current lifecycle/stage should govern ""SHE: An Expose' of Her Insufficiencies"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Loving the Addict: While Taking Care of Yourself First","","Which current lifecycle/stage should govern ""Loving the Addict: While Taking Care of Yourself First"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
