"CanonicalTitle","AuthorPublicName","LastExternalCommunication","LastHumanPromise","WorkspaceRequiredNow","Provisioned","ActivationSent","Activated","CTAFunctional"
"Establishing Glory: The Library","Jackie Smith, Jr.","Intake acknowledgment 835500001","Editorial work is in package preparation. No new author action is required until the package is released.","YES","YES","UNKNOWN","NO","NOT_PROVEN"
"The General’s Will and Last Testament","Iyorwuese Hagher","Intake acknowledgment 835500001","Editorial work is in package preparation. No new author action is required until the package is released.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"The Long Watch","Jackie Smith, Jr.","Intake acknowledgment 835500001","Editorial work is in package preparation. No new author action is required until the package is released.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"The Intentional Leader","Jackie Smith, jr.","DRAFT_ONLY Editorial Recommendation Letter for The Intentional Leader","Your interior layout package is ready for review.","YES","YES","UNKNOWN","NO","NOT_PROVEN"
"Before You Were Born","Sean Crowley","Intake acknowledgment 835500001","Editorial work is in package preparation. No new author action is required until the package is released.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","Intake acknowledgment 835500001","Intake acknowledged; manuscript/Editorial Review handling expected next.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"'TIL DEATH DO US PART","Jackie Smith, Jr.","DRAFT_ONLY Your Editorial Review & Publishing Recommendation | J Merrill Publishing","Editorial Review recommendation/package selection follow-up prepared or sent.","YES","YES","UNKNOWN","NO","NOT_PROVEN"
"Untitled","Atta Boateng","AUTHOR_RESPONSE_SENT Your Editorial Review & Publishing Recommendation | J Merrill Publishing","Editorial Review recommendation/package selection follow-up prepared or sent.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"The Long Watch - Intake Success Validation","Jackie Smith Jr","Intake acknowledgment 835500001","Intake acknowledged; manuscript/Editorial Review handling expected next.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
"You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Warriors and Angels: Liberating Inner Power in the Journey of Life","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Your Peace is a Priority: A Devotional Journal","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Journey: The Inspiration and Message Behind the Music","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"todays's new title","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Great Hair Restart: The Journal","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Taylor Made: My Life, My Story","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"More Than A Village: Raising Black Men in America","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Speech Therapy Works!: Juliana's Story","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"My ABCs","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"SHE: An Expose' of Her Insufficiencies","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Loving the Addict: While Taking Care of Yourself First","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Memoir of a Black Christian Nationalist: Seeds of Liberation","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Just What I Needed: Daily Devotional","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Inspirations from God: God is Gooood!","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Delicious Ideas!: The Legacy Cookbook","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Discipline and Direction: God's Leadership Style","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Divinely Inspired: Trauma Triumphed","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
