row,legacy_sku,legacy_name,category,legacy_price,matrix_v11_equivalent,source_disposition,final_ruling,surviving_authority,amendment_required,final_rationale,missing_fact,owner,review_date,migration_status,amended_candidate_diff,evidence_source
1,JMP-ACCESS-ALTTEXT,Alt Text & Image Description,Uncategorized,$95,,MIGRATE-AS-IS,MIGRATE,JMP-ACCESS-ALTTEXT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
2,JMP-ACCESS-EPUB,Accessible EPUB (WCAG 2.1),Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-ACCESS-EPUB,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
3,JMP-ACCESS-MULTI,Multilingual Metadata,Uncategorized,$149,,MIGRATE-AS-IS,MIGRATE,JMP-ACCESS-MULTI,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
4,JMP-AI-ANALYSIS,AI Manuscript Analysis,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-AI-ANALYSIS,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
5,JMP-AI-COVER,AI Cover Concept Ideation,Uncategorized,$95,,MIGRATE-AS-IS,MIGRATE,JMP-AI-COVER,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
6,JMP-AI-LAUNCH,AI Launch Kit,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-AI-LAUNCH,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
7,JMP-AI-MARKETING,AI Marketing Kit,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-AI-MARKETING,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
8,JMP-AI-METADATA,AI Metadata Optimization,Uncategorized,$199,,MIGRATE-AS-IS,MIGRATE,JMP-AI-METADATA,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
9,JMP-AI-SENSITIVITY,AI Sensitivity Reading,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-AI-SENSITIVITY,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
10,JMP-AI-TRANSLATE,AI-Assisted Translation,Uncategorized,$0.12/word,,MIGRATE-AS-IS,MIGRATE,JMP-AI-TRANSLATE,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
