id,lane,capability,maturity_state,last_verified,evidence_source,environment,capability_owner,confidence,known_limitation,required_next_action,related_governance_reference
"ANNEXS-ENT-001","Entitlements","M365 SKU and service plan inventory","Designed=Defined by tenant licensing; Entitled=Entitled; Activated=Partially activated by assigned licenses; Proven=API readback captured","2026-07-29T16:51:02.414Z","Graph subscribedSkus","JM1-PRIME","Jackie / M365 Admin","HIGH","Per-user service plan details summarized to reduce identity data in v1 package.","Chad synthesize license sufficiency against nine lanes.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENT-002","Entitlements","Intune availability","Designed=Endpoint management lane requires Intune posture; Entitled=Entitled; Activated=PendingActivation observed in subscribed service plan; Proven=Graph SKU evidence","2026-07-30T00:57:24.975Z","Graph subscribedSkus v1; Graph deviceManagement managedDevices v1.1 read attempt","JM1-PRIME","Jackie / M365 Admin","LOW","Intune service plan remains entitlement evidence only; managed-device inventory readback was not verified under current Graph authority.","Confirm Intune tenant activation and endpoint inventory through Intune admin/read role before Chad assigns activation/proven status.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENT-003","Entitlements","Purview availability","Designed=Compliance lane requires Purview posture; Entitled=Entitled; Activated=Service plan available; Proven=Graph SKU evidence","2026-07-30T00:57:24.975Z","Graph subscribedSkus v1; Graph Purview sensitivity/retention label read attempts v1.1","JM1-PRIME","Jackie / Compliance Admin","LOW","Purview service plans remain entitlement evidence only; sensitivity and retention label readbacks were blocked by compliance/security permissions.","Compliance or Purview reader validates labels, retention, DLP, and audit coverage in portal/API.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-001","Identity","Conditional Access policies","Designed=Conditional Access control plane present; Entitled=Entitled; Activated=Activated; Proven=Graph readback captured","2026-07-30T00:57:24.975Z","Graph conditionalAccess v1; Graph conditionalAccess v1.1","JM1-PRIME","Jackie / Entra Admin","HIGH","Policy list and state verified; detailed user/app/condition coverage still requires Chad policy analysis.","Chad synthesize policy coverage against privileged and standard-user lanes.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-002","Identity","Standing privileged role membership","Designed=Privileged roles should be least-privilege and reviewed; Entitled=Directory roles readable; Activated=Role memberships present/readable; Proven=Directory role member readback captured","2026-07-30T00:57:24.975Z","Graph directoryRoles v1; Graph roleAssignments v1.1; Graph PIM roleEligibility read attempt v1.1","JM1-PRIME","Jackie / Entra Admin","MEDIUM","Standing role assignment count was readable, but PIM eligibility schedules require additional Graph scope.","Identity administrator or Graph app with RoleManagement.Read.* validates PIM eligibility and activation posture.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ID-003","Identity","Guest and external access posture","Designed=External access posture must be known; Entitled=Users readable; Activated=Guest count captured; Proven=Graph users summary captured","2026-07-29T16:51:02.414Z","Graph users","JM1-PRIME","Jackie / Entra Admin","MEDIUM","SharePoint/Teams sharing policies are not in user summary.","Compare guest count and sharing policies against external collaboration canon.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-M365-001","M365 security/compliance","Secure Score snapshot","Designed=Security baseline requires Secure Score snapshot; Entitled=Unknown; Activated=Unknown; Proven=Not proven","2026-07-30T00:57:24.975Z","Graph secureScores v1 read attempt; Graph secureScores v1.1 read attempt","JM1-PRIME","Jackie / Security Admin","LOW","Secure Score remains blocked by security role/API permission; directory audit sample was readable but does not substitute for Secure Score.","Security Reader/Administrator validates Secure Score and improvement action coverage.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-ENDPOINT-001","Endpoints","Intune managed device inventory","Designed=Endpoint lane names JM1-PRIME/SUPPORT/ARCHIVE/VIEW/MOBILE; Entitled=Unknown; Activated=Not proven; Proven=Not proven","2026-07-30T00:57:24.975Z","Graph deviceManagement managedDevices v1.1 read attempt; endpoint-readonly-validation.json","JM1-PRIME","Jackie / Endpoint Admin","UNKNOWN","Intune managed-device inventory could not be read; JM1-SUPPORT, JM1-ARCHIVE, JM1-VIEW, and JM1-MOBILE remain not verified.","Intune/Defender portal read access or direct endpoint sessions validate named endpoint enrollment, encryption, patch, admin, and protection state.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-AZ-001","Azure","Azure subscription/resource inventory","Designed=Both Azure pillars must be visible; Entitled=Both non-tenant subscriptions visible; Activated=Resources read from visible subscriptions; Proven=az account/resource readback captured","2026-07-30T00:57:24.975Z","Azure resource inventory v1; azure-security-and-monitoring-readbacks.json v1.1","JM1-PRIME","Jackie / Azure Admin","HIGH","Readback covers current selected subscription context; cross-pillar commercial subscription synthesis depends on available Azure account context.","Chad distinguish observed nonprofit-core resources from any unobserved commercial-pillar resources.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
"ANNEXS-AZ-002","Azure","Defender for Cloud plan states","Designed=Defender for Cloud plan states required; Entitled=Security pricing readable; Activated=Plan tiers captured; Proven=az security pricing list captured","2026-07-30T00:57:24.975Z","Azure Defender for Cloud pricing v1; Azure Defender for Cloud pricing v1.1","JM1-PRIME","Jackie / Azure Security Admin","HIGH","Plan states are read-only evidence; no activation or upgrade was authorized.","Chad synthesize exposure against workload criticality without implying activation approval.","PROGRAM-004 Amendment 1 Annex S; Maturity Model v2.0 record fields"
